Est,Sel_way,Fs_inner,Fs_num,Norm,Miss_vals,In_cv,Out_cv,Rnds,Trials,Class_blnc,In_scor,Out_scor,In_sel,MCC_mean,MCC_std,MCC_sem,MCC_lowerCI,MCC_upperCI,MCC_med,MCC_lomean,MCC_upmean,MCC_lomed,MCC_upmed,REC_mean,REC_std,REC_sem,REC_lowerCI,REC_upperCI,REC_med,REC_lomean,REC_upmean,REC_lomed,REC_upmed,SPEC_mean,SPEC_std,SPEC_sem,SPEC_lowerCI,SPEC_upperCI,SPEC_med,SPEC_lomean,SPEC_upmean,SPEC_lomed,SPEC_upmed,ACC_mean,ACC_std,ACC_sem,ACC_lowerCI,ACC_upperCI,ACC_med,ACC_lomean,ACC_upmean,ACC_lomed,ACC_upmed,BAL_ACC_mean,BAL_ACC_std,BAL_ACC_sem,BAL_ACC_lowerCI,BAL_ACC_upperCI,BAL_ACC_med,BAL_ACC_lomean,BAL_ACC_upmean,BAL_ACC_lomed,BAL_ACC_upmed,PREC_mean,PREC_std,PREC_sem,PREC_lowerCI,PREC_upperCI,PREC_med,PREC_lomean,PREC_upmean,PREC_lomed,PREC_upmed,F1_mean,F1_std,F1_sem,F1_lowerCI,F1_upperCI,F1_med,F1_lomean,F1_upmean,F1_lomed,F1_upmed,AUC_mean,AUC_std,AUC_sem,AUC_lowerCI,AUC_upperCI,AUC_med,AUC_lomean,AUC_upmean,AUC_lomed,AUC_upmed,AVG_PREC_mean,AVG_PREC_std,AVG_PREC_sem,AVG_PREC_lowerCI,AVG_PREC_upperCI,AVG_PREC_med,AVG_PREC_lomean,AVG_PREC_upmean,AVG_PREC_lomed,AVG_PREC_upmed
CatBoostClassifier,full,chi2,532,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,gso_2,0.091,0.241,0.034,-0.296,0.55,0.063,0.026,0.161,0.0,0.189,0.549,0.179,0.026,0.25,0.75,0.571,0.501,0.602,0.5,0.625,0.535,0.183,0.026,0.266,0.875,0.5,0.483,0.583,0.5,0.625,0.543,0.116,0.017,0.352,0.75,0.533,0.51,0.576,0.5,0.582,0.542,0.115,0.016,0.355,0.75,0.531,0.512,0.574,0.5,0.585,0.552,0.141,0.02,0.333,0.833,0.523,0.511,0.587,0.5,0.583,0.537,0.134,0.019,0.319,0.745,0.551,0.5,0.572,0.5,0.588,0.561,0.127,0.018,0.339,0.792,0.558,0.527,0.6,0.527,0.578,0.623,0.099,0.014,0.471,0.808,0.613,0.596,0.65,0.581,0.644
ElasticNet,full,chi2,532,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,gso_2,0.136,0.195,0.028,-0.247,0.393,0.135,0.078,0.187,0.126,0.218,0.675,0.181,0.026,0.375,1.0,0.67,0.623,0.723,0.625,0.75,0.453,0.189,0.027,0.056,0.734,0.5,0.398,0.501,0.375,0.5,0.562,0.089,0.013,0.417,0.688,0.562,0.537,0.586,0.533,0.6,0.564,0.09,0.013,0.403,0.688,0.562,0.538,0.588,0.554,0.598,0.556,0.077,0.011,0.455,0.685,0.551,0.534,0.576,0.538,0.6,0.598,0.099,0.014,0.399,0.723,0.625,0.57,0.623,0.58,0.649,0.585,0.125,0.018,0.401,0.777,0.589,0.55,0.617,0.55,0.625,0.636,0.114,0.016,0.466,0.811,0.631,0.606,0.672,0.586,0.694
GaussianNB,full,chi2,532,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,gso_2,-0.023,0.239,0.034,-0.334,0.437,-0.02,-0.086,0.042,-0.135,0.001,0.456,0.169,0.024,0.25,0.734,0.5,0.41,0.501,0.375,0.5,0.521,0.162,0.023,0.266,0.809,0.5,0.474,0.566,0.5,0.501,0.489,0.116,0.017,0.333,0.713,0.483,0.46,0.52,0.438,0.517,0.489,0.116,0.017,0.334,0.712,0.491,0.458,0.521,0.438,0.5,0.486,0.139,0.02,0.292,0.714,0.5,0.445,0.525,0.429,0.5,0.463,0.142,0.02,0.286,0.714,0.472,0.424,0.502,0.4,0.533,0.477,0.129,0.018,0.275,0.696,0.484,0.441,0.513,0.42,0.525,0.531,0.09,0.013,0.408,0.683,0.518,0.506,0.556,0.48,0.564
GaussianProcessClassifier,full,chi2,532,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,gso_2,-0.023,0.243,0.035,-0.401,0.361,-0.027,-0.086,0.045,-0.135,0.026,0.683,0.174,0.025,0.375,0.875,0.625,0.631,0.733,0.625,0.75,0.3,0.175,0.025,0.0,0.601,0.286,0.251,0.345,0.25,0.375,0.49,0.105,0.015,0.322,0.648,0.483,0.462,0.518,0.438,0.533,0.491,0.105,0.015,0.317,0.65,0.487,0.463,0.521,0.438,0.518,0.493,0.081,0.012,0.379,0.62,0.5,0.472,0.515,0.462,0.5,0.566,0.102,0.015,0.4,0.715,0.563,0.537,0.594,0.53,0.62,0.528,0.154,0.022,0.3,0.743,0.518,0.487,0.571,0.475,0.594,0.63,0.127,0.018,0.432,0.816,0.636,0.596,0.665,0.577,0.69
GradientBoostingClassifier,full,chi2,532,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,gso_2,0.13,0.201,0.029,-0.226,0.457,0.135,0.073,0.188,0.126,0.196,0.551,0.193,0.028,0.25,0.857,0.5,0.496,0.613,0.5,0.625,0.571,0.187,0.027,0.286,0.867,0.625,0.517,0.619,0.5,0.625,0.56,0.097,0.014,0.386,0.722,0.562,0.532,0.587,0.562,0.6,0.561,0.096,0.014,0.387,0.722,0.562,0.535,0.586,0.562,0.589,0.573,0.122,0.017,0.375,0.777,0.571,0.54,0.607,0.556,0.6,0.541,0.132,0.019,0.319,0.727,0.544,0.505,0.58,0.533,0.608,0.577,0.115,0.016,0.422,0.742,0.594,0.548,0.61,0.516,0.625,0.621,0.099,0.014,0.474,0.779,0.62,0.594,0.65,0.569,0.65
KNeighborsClassifier,full,chi2,532,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,gso_2,-0.032,0.25,0.036,-0.44,0.378,-0.013,-0.103,0.04,-0.135,0.0,0.708,0.197,0.028,0.326,1.0,0.75,0.653,0.761,0.67,0.75,0.269,0.202,0.029,0.0,0.625,0.25,0.217,0.329,0.143,0.25,0.488,0.109,0.016,0.297,0.659,0.483,0.456,0.518,0.438,0.5,0.488,0.107,0.015,0.306,0.659,0.496,0.459,0.519,0.438,0.5,0.491,0.095,0.014,0.333,0.648,0.5,0.465,0.517,0.462,0.5,0.571,0.12,0.017,0.342,0.721,0.571,0.536,0.603,0.551,0.6,0.459,0.13,0.019,0.268,0.672,0.457,0.422,0.492,0.422,0.482,0.52,0.081,0.012,0.425,0.658,0.496,0.499,0.543,0.477,0.537
LGBMClassifier,full,chi2,532,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,gso_2,0.112,0.238,0.034,-0.271,0.437,0.16,0.045,0.177,0.027,0.25,0.56,0.198,0.028,0.181,0.875,0.571,0.501,0.618,0.5,0.625,0.549,0.187,0.027,0.25,0.857,0.571,0.495,0.6,0.5,0.625,0.554,0.116,0.017,0.375,0.713,0.562,0.519,0.59,0.517,0.612,0.554,0.115,0.016,0.375,0.712,0.562,0.52,0.584,0.527,0.616,0.554,0.13,0.019,0.375,0.714,0.571,0.52,0.589,0.5,0.6,0.543,0.15,0.021,0.248,0.714,0.571,0.5,0.584,0.513,0.646,0.571,0.14,0.02,0.347,0.805,0.578,0.536,0.611,0.525,0.621,0.619,0.117,0.017,0.479,0.861,0.593,0.587,0.651,0.556,0.638
LinearDiscriminantAnalysis,full,chi2,532,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,gso_2,-0.004,0.22,0.031,-0.362,0.361,0.0,-0.063,0.058,-0.075,0.071,0.505,0.196,0.028,0.191,0.75,0.5,0.449,0.555,0.429,0.625,0.491,0.142,0.02,0.25,0.714,0.5,0.451,0.528,0.429,0.571,0.498,0.105,0.015,0.322,0.667,0.5,0.467,0.526,0.467,0.533,0.498,0.105,0.015,0.321,0.679,0.5,0.469,0.529,0.464,0.536,0.486,0.122,0.017,0.266,0.667,0.5,0.453,0.522,0.453,0.523,0.487,0.148,0.021,0.22,0.688,0.5,0.447,0.525,0.45,0.563,0.512,0.113,0.016,0.365,0.692,0.492,0.479,0.544,0.438,0.527,0.592,0.101,0.014,0.431,0.77,0.594,0.564,0.618,0.542,0.623
LogisticRegression,full,chi2,532,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,gso_2,0.094,0.204,0.029,-0.26,0.452,0.126,0.036,0.152,0.0,0.135,0.561,0.199,0.028,0.191,0.857,0.598,0.505,0.616,0.5,0.625,0.53,0.203,0.029,0.25,0.875,0.5,0.471,0.593,0.5,0.625,0.543,0.094,0.013,0.386,0.713,0.562,0.517,0.568,0.5,0.562,0.546,0.094,0.013,0.379,0.717,0.562,0.52,0.569,0.513,0.562,0.548,0.128,0.018,0.333,0.8,0.545,0.513,0.586,0.5,0.563,0.536,0.135,0.019,0.239,0.685,0.571,0.496,0.572,0.533,0.62,0.571,0.121,0.017,0.382,0.75,0.592,0.537,0.603,0.531,0.625,0.626,0.097,0.014,0.484,0.786,0.611,0.598,0.652,0.589,0.664
RandomForestClassifier,full,chi2,532,minmax,median,5,5,10,100,auto,matthews_corrcoef,matthews_corrcoef,gso_2,0.142,0.2,0.029,-0.198,0.473,0.13,0.087,0.194,0.071,0.218,0.584,0.204,0.029,0.25,0.944,0.625,0.529,0.643,0.5,0.625,0.545,0.16,0.023,0.326,0.75,0.536,0.504,0.589,0.5,0.572,0.566,0.093,0.013,0.403,0.713,0.562,0.541,0.592,0.533,0.6,0.565,0.094,0.013,0.403,0.712,0.562,0.538,0.59,0.536,0.598,0.568,0.113,0.016,0.399,0.714,0.571,0.534,0.601,0.545,0.6,0.558,0.133,0.019,0.333,0.74,0.588,0.52,0.595,0.53,0.625,0.59,0.123,0.018,0.39,0.781,0.584,0.555,0.626,0.554,0.641,0.626,0.101,0.014,0.468,0.782,0.621,0.598,0.654,0.573,0.664
