Samples	group	113.9932_0.61	113.9932_36.1	118.0627_1.04	126.0678_1.02	130.0266_0.83	130.0619_1.38	133.0526_1.06	134.0722_4.05	135.0684_1.06	146.0684_1.03	146.0691_0.67	148.9459_0.9	152.1199_7.1	155.0697_0.58	155.9811_0.56	159.0683_1.19	159.9856_0.56	161.8492_1.12	161.8495_0.8	165.079_1.02	167.9567_0.77	168.0284_0.69	169.856_1.13	170.0558_1.03	174.016_0.83	175.9635_0.56	1791.6933_0.61	181.9804_0.61	188.0142_1.65	188.0508_0.69	188.0681_1.03	189.9967_1.24	192.0276_0.82	196.1096_7.09	196.8181_0.8	196.8182_1.13	196.8184_37.62	1968.0041_0.79	1995.6564_0.6	204.0895_1.02	212.1044_1.09	214.0274_4	224.1411_11.86	225.9868_0.69	227.973_0.57	231.02_1.26	232.0586_1.03	235.99_0.78	240.0995_7.08	243.183_6.21	248.0539_0.96	249.9678_30.99	249.9846_0.79	254.09_15.38	254.2246_27.12	256.095_1.09	256.2399_30.54	258.1824_11.13	262.0812_7.09	266.1549_20.14	268.1307_11.84	272.2343_25.74	274.8347_37.63	278.0777_1.09	278.2244_25.73	280.2399_28.07	280.24_28.07	280.9149_1.09	280.9152_0.79	282.2556_31	282.9139_0.84	284.2711_34.3	287.9405_0.77	294.1046_0.76	294.1288_0.76	294.1612_0.76	294.186_29.18	294.2061_0.76	294.251_0.76	295.9602_0.57	298.1601_19.77	302.0087_35.97	302.0089_35.47	302.009_36.64	302.2242_25.3	304.2398_27.6	306.255_29.45	310.1814_24.62	312.226_18.11	314.2452_26.54	318.89_0.81	324.2274_30.56	327.8753_37.23	328.2402_27.01	330.2553_29.34	330.2555_28.29	332.2708_30.53	340.207_31.04	343.734_0.69	348.2273_28.15	350.243_31.02	351.9086_0.74	352.2586_34.32	354.2085_27.05	361.9379_0.57	366.276_23.01	367.8844_0.64	368.1653_7.32	370.1808_4.83	370.1809_10.89	370.1811_8.02	370.1811_8.77	372.228_27.65	377.2327_12.52	379.2481_14.96	381.2631_15.84	382.0406_0.82	382.1819_31.05	383.7287_0.69	384.1601_3.13	385.7259_0.69	385.9428_37.13	386.1759_1.23	392.2146_30.55	392.29_11.05	392.291_10.22	392.2912_12.44	392.2917_14.77	392.2917_15.34	393.0659_1.04	396.1967_11.2	396.228_27.06	398.2137_8.36	398.3696_34.43	403.8919_37.12	404.0196_0.8	408.2136_3.56	408.2839_10.55	409.8675_0.73	412.3538_31.21	412.3895_35.97	414.2069_5.08	416.2153_28.16	418.2297_31.05	420.2457_34.32	426.3695_33.35	426.3699_32.65	430.3079_18.01	430.8667_19.84	431.9342_0.57	436.1529_7.33	436.3549_34.61	437.29_20.24	440.8952_37.39	442.3639_25.76	442.4005_33.23	445.1517_27.06	446.0653_1.01	446.3387_30.48	446.339_29.9	447.1688_30.53	449.3126_7.69	449.313_11.08	449.3132_11.74	450.2616_16.24	453.2854_18.99	453.2855_18.26	461.6525_0.69	463.3058_21.07	464.2154_27.09	465.3081_7.76	465.3225_24.49	467.8258_0.72	468.3779_30.21	471.1674_28.07	473.1829_31.02	477.2849_17.53	477.2852_16.9	479.3003_20	481.3164_23.17	481.3165_18.5	481.3165_19.29	481.3173_22.47	482.2871_12.47	485.7965_0.65	486.3873_28.99	490.3644_22.92	492.3789_33.19	493.361_28.84	496.2285_1.11	496.4112_34.34	499.2683_15.75	499.2949_9.71	499.2955_10.54	499.9215_0.57	501.2845_17.11	501.2851_17.13	501.2851_17.59	503.2997_18.99	504.1399_7.32	505.316_17.75	505.3161_17.08	507.3318_20.19	507.332_20.19	509.3476_23.48	512.2965_7.53	512.4059_31.57	513.2752_11.96	513.3057_14.51	513.3058_15.25	513.3068_14.51	518.1549_31.05	518.396_25.91	519.1683_27.03	520.4102_27.4	521.2718_19	521.9165_36.27	521.9168_37.13	521.9173_0.61	525.2846_17.55	525.2854_17.17	525.3424_20.45	525.7846_0.72	527.3005_18.56	527.3197_16.56	527.3201_17.22	527.3577_20.29	529.2979_16.51	529.9428_0.75	531.3088_18.47	531.3089_19.25	534.4599_30.55	537.891_0.61	538.4229_30.44	539.3214_16.51	539.3216_15.81	539.3217_17.39	540.2556_1.08	540.4361_32.45	540.4367_30.79	540.4372_31.55	541.3377_18.47	541.3385_19.23	542.2714_1.07	543.7558_0.65	545.2728_17.52	545.3467_18.65	545.347_19.24	545.9092_0.63	547.2883_20.01	549.3035_23.17	551.3577_21.27	553.323_17.72	553.3366_18.38	553.3474_20.72	553.3737_21.26	553.3744_24.6	553.3873_21.29	554.2056_31.03	555.3079_17.06	555.3083_17.69	555.3531_21.29	555.3532_20.72	557.2231_37.41	557.3031_17.71	557.3246_20.19	557.3268_19.57	557.3309_9.58	557.3312_9.58	557.3314_16.49	558.3275_19.4	559.3218_20.2	559.3386_22.62	559.3393_23.51	560.4055_30.43	560.4745_30.87	563.3216_15.94	565.3372_17.04	565.3377_17.69	567.3529_20.59	567.353_20.17	567.3532_19.61	568.3227_10.53	568.3557_20.61	569.3689_23.51	569.369_22.71	574.4592_31.09	577.2034_37.71	577.292_15.89	579.3077_17.28	579.3088_17.88	580.3513_19.25	581.2939_15.3	582.2484_9.98	582.4621_28.15	583.3846_25.67	583.743_0.72	584.2617_15.71	584.2623_14.36	584.2635_32.87	584.2639_6.48	585.3629_18.52	585.3632_18.48	585.3633_19.52	586.4924_31	587.3213_15.87	587.3238_15.34	589.3372_17.23	589.3374_17.88	589.9048_0.6	591.3522_20.25	591.3523_18.65	591.3525_20.15	591.3531_18.65	591.3531_19.24	592.2521_31.16	593.273_17.55	593.3573_20.55	593.3682_21.35	595.3153_17.25	595.384_24.13	596.2953_20.87	596.2957_20.87	596.2962_19.73	596.4988_36.28	597.4002_27.78	597.5028_35.57	598.3112_25.16	599.3_19.25	600.2562_1.03	600.3254_37.03	602.4483_30.54	604.3429_17.77	605.8778_0.61	606.3621_20.21	606.4123_35.42	607.3103_16.5	608.3789_23.52	609.3248_19.27	609.3249_18.47	609.362_17.05	609.3628_17.73	609.8151_38.41	611.3781_20.21	613.2676_19.28	613.2694_18.5	613.3369_17.27	613.3371_17.71	613.394_23.4	613.7321_0.67	614.3651_7.31	615.3567_18.65	615.3697_19.2	617.3679_20.71	618.4811_35.5	618.4811_36.28	618.4814_35.99	619.5552_0.7	620.2957_21.08	620.2972_19.98	622.3119_23.34	623.2989_17.75	623.339_21.31	625.2125_37.41	625.2897_19.32	625.2906_17.8	625.3109_20.23	625.3453_8.1	627.3292_23.5	628.3806_8.73	631.3061_19.32	633.3255_17.05	633.3259_17.69	635.2405_37.38	635.3399_20.18	635.3414_19.64	635.3415_20.58	635.8967_0.57	637.2665_17.11	637.2676_17.76	637.3559_22.71	637.3559_23.5	637.8356_0.63	639.2815_19.59	639.2835_20.19	639.374_17.05	639.3741_17.71	641.2628_19.3	641.2981_22.69	641.2986_23.49	641.3853_19.48	641.3888_20.22	641.7015_0.7	643.4047_23.48	644.2943_20.99	645.1904_37.45	650.4477_28.13	654.4797_31.04	655.2186_37.39	655.3078_15.38	655.3091_15.93	657.3261_17.3	657.6811_0.66	659.3376_19.13	659.3408_18.64	661.2669_17.86	661.3545_21.34	663.3715_17.88	665.2628_17.72	666.4355_31.04	667.2777_20.21	669.2905_23.51	670.4643_34.24	671.6985_0.68	675.5176_0.69	677.3107_19.3	677.3109_18.46	681.3215_17.75	681.3223_17.27	682.2639_19.3	683.3395_18.71	684.2434_16.49	685.7635_0.64	686.2595_18.5	686.2595_19.27	689.2619_17.89	689.2669_19.28	689.2684_19.28	689.2693_18.48	690.1793_31.02	695.7928_0.64	701.3116_17.1	701.3127_17.77	703.2278_37.37	703.3233_20.22	705.3422_23.51	705.4021_28.1	706.2629_17.76	706.5255_33.21	708.2778_20.23	709.4338_31.03	710.2594_17.75	710.2597_17.07	710.2599_17.75	710.2952_23.51	712.2672_19.59	712.2751_20.21	712.2753_20.23	713.2562_37.35	713.2666_17.79	714.2899_22.67	714.291_23.44	714.2917_22.67	715.2823_20.25	717.6382_0.67	717.7785_0.64	718.5245_31.89	720.5403_35.68	721.5425_35.68	723.2046_37.38	732.2437_15.91	734.2572_17.89	734.2577_17.27	734.2608_17.89	736.2501_19.21	738.542_33.52	738.5454_33.52	739.5317_33.42	739.5338_33.43	739.6193_0.68	740.5339_33.51	741.8482_0.6	743.4726_0.69	743.5457_37.05	743.7414_0.65	745.2969_18.5	745.298_19.29	746.5563_36.97	746.5573_36.17	754.2464_19.26	754.2472_18.51	754.248_19.26	758.256_17.78	759.7717_0.64	761.6075_36.12	761.9814_0.83	769.2992_17.71	771.313_20.25	771.8715_0.58	773.3288_23.49	776.6022_37.17	777.738_0.64	778.2467_17.75	780.2613_20.23	781.2436_37.34	782.2776_23.48	787.5071_20.2	799.5387_32.88	803.5664_37.08	805.5806_36.18	829.4204_0.69	851.4113_0.69	858.6531_36.18	858.667_35.69	86.0373_0.83	861.6143_32.65	861.8531_0.6	862.5538_37.16	877.5915_37.1	879.5977_37.1	884.5486_37.17	886.5547_37.17	887.557_37.17	90.0299_0.67	911.3544_0.68	919.8145_0.62	937.8286_0.61	943.8214_0.74	948.6154_19.2	949.4995_37.36	951.5022_37.02	956.9784_1.11	956.989_0.72	958.9762_1.12	959.4971_37.03	962.5054_37.14	967.0081_36.77	974.6302_19.34	975.6017_32.67	979.9837_1.01	979.9895_0.67	996.6156_17.68
2	Factor1:CASE	852261	619947	47938	94364	2558642	134292	43943	12783	14927	16707	98479	121953	47652	38551	209110	29574	270186	2455493	2148517	30698	366095	439634	35479	44603	421188	277677	108070	253227	1029165	29271	55499	14660	14371712	458345	1929864	1182441	722082	45492	195364	85116	51218	27094	39237	80405	137349	373472	49700	2254472	658358	56111	88728	1592099	211425	388358	83203	75817	968674	20485	69664	630770	126286	74796	1029002	17399	70083	938068	949337	108880	224970	2678432	95658	421867	40154	703161	721281	746635	258911	572029	565516	105158	495499	63521	191175	64555	43125	172666	33029	308101	100111	17922	70683	257989	175671	297076	14149	26058	30368	75118	31424	144395	438972	915974	141090	130746	147194	28639	62389	627941	25370	47170	76324	204732	19709	38106	118932	20225	55422	30411	16390	18058	32234	187687	8232	99436	2264	727	13977	428857	166265	7427	24773	31687	69842	75033	295437	21022	35102	64798	520581	55281	97066	65768	52416	177428	95696	25763	143359	72410	298953	56799	11889	9775	212233	62972	60549	48794	17631	5725	130049	225736	54536	10014	344504	272086	69517	369094	66729	41187	147164	10209	134253	281789	384942	320489	68374	60477	766380	165382	796509	527116	46350	262823	99228	12116	52465	51734	35539	35268	33319	237	275825	58464	76889	36863	60276	98972	100440	502758	49947	13597	194576	33837	84631	84934	81091	12507	117341	119087	42376	280331	54004	32390	64689	11629	32506	16730	216325	476057	533422	298831	71218	143065	296452	22030	31448	175162	155377	25649	562702	138940	717441	79581	34221	333993	679330	94336	37641	27881	218783	332503	412876	4059164	25667355	32386	49597	35645	306059	1675839	41123	49409	33347	24227	28171	106391	145660	483455	60736	321377	33867	135508	488490	303737	192660	7950	173374	334283	58154	35213	35369	521364	71665	93417	48818	255697	45338	47646	347092	3424177	17047397	338081	10773322	1782695	35237	72809	9475156	1562401	57003	33489	24411	34983	133507	127017	26158	6610	26709	34765	202179	9514	20935	52470	119597	56859	43509	2017591	164389	635470	109305	789092	3351382	620462	94321	308557	110397	219571	1658066	112487	20132	52373	237865	14759	137292	289672	289458	32467	125812	41698	66301	392027	89768	12379	114706	35283	49354	51037	33624	15318	50416	28952	1904353	372298	48109	209186	364115	130930	321885	54762	276753	1307848	85930	10091	14872	166948	360966	70352	54955	25097	46879	53476	582324	81638	107243	70488	52984	79704	54991	65273	65225	50250	49844	14445	160344	337798	1259574	10407	915018	159018	34987	66605	51655	185245	154281	826836	63067	39042	176733	46371	197005	230968	27912	150694	23397	101687	222998	86332	42552	102771	8320	55195	29334	7557	60879	76265	66097	149685	29398	41799	19164	42962	80614	29804	129869	123801	23687	22969	34446	165052	33153	126659	32170	117277	22391	11763	55608	95047	433216	16332	96920	96920	20088	42119	48731	25823	105798	94528	106263	89639	8393	86828	24235	59267	16845	259955	81148	261790	40966	43706	231836	158283	4381	70426	35701	166748	36191	54132	20522	80993	164191	724946	245561	23715	11370	75703	22016	74591	63802	1747386	1603526	671701	491032	27373	548866	143179	2595	47364	53651	23876	83347	612331	188130	96045	23497	96045	58066	71069	33142	23402	56611	53296	59592	38242	161601	46670	83182	81920	13254	58758	29020	524913	2158001	119045	19106	20028	41859	58632	464209	451249	306081	176092	401264	396617	189817	299478	179713	106305	26865	114705	47052	142673	51319	10594	44542	1124935	4978120	228081	24026	28079	19906748	36446	153572	29304	11353	72876
5	Factor1:CASE	810515	1099262	69501	59828	2133129	177591	287619	6941	96857	26257	111256	118421	50309	37267	186923	51994	193160	2317739	2216184	31664	325178	716086	39854	28888	365777	226277	106628	235986	741479	40036	32190	41429	12673543	482812	1988287	1185542	661337	36905	193294	100060	53580	16865	66631	115081	98065	523521	38509	2428407	731160	91497	68137	1039799	204598	33011	97524	99796	755984	30539	72316	552782	195796	82605	952720	20891	74007	1191449	1198379	102464	204349	1657419	89964	260945	52044	740364	691122	762491	236865	626718	622949	75460	522536	199628	224529	195135	105147	265186	35278	283446	63159	40766	65385	192713	95817	842755	23725	58388	31947	55904	42792	171955	276472	985310	88948	123631	119121	51118	69969	303028	15544	24352	67919	210267	29505	42440	136845	17506	85115	15327	17498	17968	40913	119672	9428	77117	62136	77662	169916	349028	457494	18840	17680	82900	49819	14437	172254	34407	35363	89494	594542	15978	23190	37072	61167	118224	64711	13203	84150	55411	340074	42222	5747	12266	270087	68741	10232	11723	23635	4855	176504	303624	44004	16757	48433	65863	61244	490420	94390	45168	203338	22807	9927	336821	482477	247159	78084	41277	687116	151024	407769	635175	69063	355120	116583	43150	65639	7982	49542	16999	28167	423	44250	116534	13276	10640	51612	90273	90447	473115	49372	7016	210544	39599	90475	90751	115109	11144	17121	81274	64827	432700	84706	9978	75834	26584	26341	21120	46099	175234	504065	550472	121330	186812	341944	30773	43082	250754	220518	49968	470656	203689	841026	46025	38821	226727	1195739	177776	38493	38488	39003	45902	113076	6243331	33427358	40875	58416	33304	368759	1779924	37187	21669	37082	27645	44160	130384	176495	634842	64614	419702	18371	131723	490940	407622	235513	13200	191504	316945	56845	45149	44461	930017	76460	88264	71556	351341	23251	45344	428290	3562512	18327977	320739	10538484	1738775	202861	65012	14542269	2323226	88975	27376	52869	40841	139241	130774	41201	4036	33037	52784	254273	7378	17163	33673	95532	85209	64858	1994446	68039	1379899	229620	908663	3757227	618742	72675	374149	77170	270609	1760252	183542	30888	60107	298692	21103	132553	320412	320412	40315	53037	52145	20051	235860	85213	8409	95908	16876	58745	53761	29704	16031	84862	38588	2155720	547270	53540	233261	347131	127982	368372	80297	500946	2453252	112481	16144	28704	296474	388454	84242	14640	2903	13447	74456	598097	86713	109717	64083	65038	81597	52964	74946	55286	76014	61507	29524	143641	325447	1275642	17999	837050	147716	30614	49392	53434	184684	215600	1129890	76879	37937	158708	46570	192272	246121	39748	207840	24149	91031	276020	119861	65870	87467	9594	22966	25272	16879	126279	87438	80871	140164	39353	52617	24046	46407	78435	11583	119764	160373	8906	30754	47692	143480	38399	206848	51678	119605	31478	21366	64208	129675	454440	18430	98585	98585	28424	17817	55941	22195	96712	106800	89949	118477	11630	87074	12289	50329	5466	253702	78107	255235	52606	39999	212506	144901	11814	73245	48368	219933	48513	47424	30742	85048	169800	215756	85223	19871	27636	79803	24908	78719	56358	1018186	1011120	489986	484256	38934	378378	128174	1852	62265	65220	25209	66498	189948	60800	85780	32367	85302	71570	74902	18301	11410	51779	43410	45449	47120	239117	54576	77644	63123	14988	69037	19420	47732	6201418	107189	14875	22697	4365	7290	449502	244503	303333	95897	258177	248538	88706	142803	89526	151080	26951	87201	53667	100528	55291	22173	47444	1077560	4919841	222602	29287	31863	7701776	23580	80618	56067	21421	56325
12	Factor1:CASE	852061	950964	48818	64250	1904381	151970	56271	7032	15337	35333	120626	134438	27405	40207	226420	33798	169265	2012888	2670378	31091	367761	565109	57439	27832	336036	149200	112928	252104	1492448	28765	64637	7489	11173058	244504	2635976	1307665	758407	33317	205148	92737	25198	20925	29536	107391	91361	307041	65492	1894923	332398	41020	44198	1997773	214225	122552	242977	44182	1390936	18914	34220	627642	100790	78687	1116631	12949	148960	1774284	1803206	120467	241434	4751390	96171	397476	40626	626335	742055	691970	329017	570980	570257	68521	770329	175387	151124	224337	72270	400796	62691	331989	53342	25930	64686	334965	131581	677058	38639	81834	69310	94858	97487	252097	656736	885123	130406	200039	101621	20558	84906	362787	22547	32134	89212	253070	43846	43278	112913	17124	67479	46472	24915	14691	58138	134091	12253	138755	11635	22287	198458	260423	191666	17204	10512	71414	41041	56616	231739	31665	21357	100927	560942	51824	54836	31271	86622	279984	102112	37971	156333	62742	408719	32855	7096	6206	253805	80361	35252	42127	60118	12157	120872	121708	64427	4369	65973	47211	52069	292237	56298	67799	233875	16186	31375	338592	475437	293403	106781	80380	294899	60904	275773	395605	59721	325971	69618	21507	57799	27389	29693	27357	41606	34850	197206	31464	17692	5680	46851	91501	92669	416042	42249	8915	138004	22900	96794	96731	124131	12288	74732	56243	77875	481027	99220	35688	45545	22678	32029	13404	72836	211726	536524	342216	71252	272685	359698	23591	45424	263146	270113	50919	247473	208969	864840	175419	29551	371137	1322008	195918	35731	31385	161466	144529	347497	6399746	34265270	44742	59096	14033	546302	2660841	47344	14229	22601	48483	45091	95964	143619	705122	102974	398578	72376	81350	356655	384583	188895	32231	153200	355712	55916	36656	36656	1008512	80850	96956	84213	436251	54169	58964	402627	2348263	12494890	348911	11969804	1946483	13279	111714	16635102	2745295	131835	41425	24538	55056	215859	149300	52146	17213	81144	44928	273201	25002	46375	115002	220750	62248	47339	2241056	586120	635626	111729	1224880	5957194	618529	160043	533131	173582	405221	2630998	299223	18706	45296	255366	26115	148599	204091	203978	30739	125076	56748	75232	189579	96785	20660	135743	65153	59604	47953	32763	19503	103683	47435	2268423	543224	28870	122764	410956	104622	365888	79445	521679	2779258	105083	17418	37448	429572	425176	169159	59399	20208	55294	127171	568721	84593	89647	44489	67526	156961	62636	91483	59876	25959	71183	43042	168407	220048	970397	39614	1023870	185825	32494	47945	32631	136920	273911	1450705	82807	37624	179765	28508	132257	259031	48328	241521	30727	106171	338381	156026	43661	129991	31207	147206	40328	7433	62211	125263	96780	203940	51630	75150	23059	71520	59355	75270	131916	206422	49237	52929	96640	154969	43046	224728	50612	126576	42926	27734	82155	143844	497555	28162	113780	113780	34751	80430	76100	17167	74841	233976	106639	147500	33332	63977	63231	53625	50716	187049	51802	187618	68566	52623	235410	164432	27575	59395	63812	288589	64153	60743	47614	102844	466502	1308904	367032	34009	12456	105214	27548	106324	74766	1342243	1316833	899613	890106	69641	489617	75962	11359	229306	65219	40942	84151	1074640	445150	104051	34761	104051	79143	54268	171882	18552	50333	56226	34799	71397	848985	69263	64665	91152	66866	95597	36725	201447	24027962	255882	23341	48065	51138	25322	283871	557417	318393	415832	669328	581227	235254	381616	249096	126875	40305	74513	41646	38101	57430	76561	259999	1100861	5575049	193906	101606	91115	40313830	24671	93134	44947	15240	22406
15	Factor1:CASE	820323	1015968	65381	52179	3814384	210715	118144	48343	35881	27847	104575	134569	26877	42981	230473	36920	229572	1366207	1599031	28175	481186	352930	24962	22423	675945	322506	102702	249952	1349914	36924	30639	18145	21688559	255636	1659304	752516	745953	31563	184656	113411	35207	97571	42071	64869	116474	303168	35350	3045844	366854	34067	60651	1419801	291472	55967	164388	61663	1039216	40117	38430	582544	142120	94247	1067856	13779	84442	1506899	1519104	164660	246422	2920847	104431	389034	42542	912409	994648	838117	291567	729814	729536	88993	723593	124164	160257	171231	32699	307873	45486	345752	40705	47933	79352	263145	143235	599849	38721	47928	52713	70471	34788	218013	457798	1216986	122262	161483	153344	31189	89187	997688	57912	109944	250989	765194	33416	66979	235987	33260	60830	27594	11920	48489	24951	154242	37927	112169	9003	7551	19779	40848	62142	8919	45249	65552	179895	10441	237980	24607	56410	32878	719566	16533	13567	148770	75836	206426	101890	13939	63402	52474	351835	50592	23224	18917	245092	70664	11065	6012	39182	6826	141784	163380	54434	8971	153100	39811	463106	471218	90226	31026	207620	16635	33151	356957	594119	179477	93123	61269	562268	114822	339464	700362	76193	416667	121186	2456	61549	8628	40541	22940	42806	5037	27114	27341	25145	2069	67409	110009	110009	578573	57334	28338	227332	42832	105876	105902	131503	43606	7184	55811	80327	538511	105724	22891	57095	17518	20052	20735	131659	224940	517936	424356	83530	258324	429848	26572	71824	370155	320392	55035	582656	237120	970138	100912	35098	214040	1428548	209866	61003	38929	26973	51700	89267	7902249	41538895	72941	60756	24729	540928	2733195	46605	19669	39942	45718	48872	126789	300401	1039633	121334	623053	40326	133948	534296	584531	390817	33837	196806	368529	58068	58314	58314	1068479	90159	97513	84575	422878	27667	33960	326741	3997565	20370944	857802	13357169	2100368	6329	235964	17149978	2831232	97775	36415	15337	52972	199274	166110	58049	15652	60871	62380	330141	33143	57314	116705	244101	96049	73173	2472131	244815	420868	74818	1179659	5654263	601732	137886	523658	162138	382306	2706165	230507	26987	77387	424424	34776	196668	245928	245547	31319	30892	87513	14779	228138	105923	16968	206503	47180	68446	54499	39254	36335	95639	51514	2640674	671471	55484	236067	383496	145550	422552	97998	507174	2619731	121466	15001	21612	428826	511736	204448	4805	1441	6343	49780	829352	104838	139652	64471	111492	151101	73044	91004	66152	28158	73776	17529	187078	366427	1403410	42115	1107673	192007	66599	66647	48704	206454	279650	1501840	76537	40532	195320	48641	200452	287755	53376	257235	30891	125578	346426	158337	42952	106357	22362	81155	35265	5917	42694	123959	85979	191783	48129	68175	41881	63771	80653	49331	141439	210884	27345	31666	36712	174274	50568	205660	54602	147797	38546	32561	93597	163635	536367	25080	125032	125149	37833	46345	70805	25921	103459	210319	118088	148310	30443	88035	49040	60356	26893	278600	88855	277622	72185	50563	236143	176949	27055	77168	61798	287171	62350	66735	33733	111038	337226	875337	236387	26152	8015	102287	27720	102845	75540	744990	755070	495130	486533	42061	271435	118768	3844	105549	79233	41518	86185	756257	298332	108743	39926	108743	79343	85186	69422	47447	61388	61785	45029	69876	457281	91266	85504	88438	50333	104381	33098	178179	11216782	144197	16184	15870	26896	35822	615522	402295	295227	243976	222292	184613	233281	371427	221080	84442	16956	103291	38336	130410	93225	47121	108375	1111163	4226322	223126	48949	50943	25330305	33316	81126	23675	14878	58897
19	Factor1:CASE	998739	680893	33761	50255	1827662	135858	249149	11328	87620	12933	149901	135987	23626	43448	248811	27953	138274	2178562	2525531	20539	345588	425910	57918	21710	334398	90029	156344	290319	217761	71371	28783	33741	10442134	220458	2433605	1405694	623119	53660	258734	94244	38644	30079	38737	81206	81764	177019	30068	1545333	310760	37902	58868	1074479	183599	273404	85294	66983	681343	7333	32528	581614	119189	57296	998989	13104	61814	758722	767788	80338	221268	1454685	94391	287665	28862	519510	590260	582059	267361	478724	477349	63551	740418	114089	180353	94632	38748	167863	29485	318671	33055	47633	63821	191357	138158	375537	12621	34642	29402	44471	79553	117678	255064	719451	101190	122591	102072	42261	66041	430467	31339	36365	80708	255925	18918	39110	107116	16163	50151	14149	23640	12666	47786	142767	10311	83508	6834	5752	28073	105156	104795	12007	23195	40223	59151	28371	266428	26950	31166	67250	434488	16796	24616	47923	48548	119641	72406	14249	70034	38025	360428	34424	10022	13301	199574	72277	12139	20848	17279	3576	180854	237004	45331	3094	22104	16587	45111	437833	79525	59625	153223	10128	6759	258436	373766	256013	59647	43772	440887	88866	308922	570087	48117	267844	100811	21539	40040	13185	41522	10084	20452	6410	47903	39391	2673	1018	52422	74145	77233	384681	54127	10645	124637	20874	62228	62227	95042	12002	19518	45582	83308	499436	104815	10111	64538	11638	25915	21875	229367	210636	611374	387675	90461	150837	275967	22832	64477	318046	202023	31792	192229	162652	720279	46303	36415	252569	800675	136330	33825	19476	36688	47075	105602	5012518	28323012	21421	39753	20763	382217	1659754	53688	20941	34357	19037	24120	80522	210420	658539	64881	414577	19953	76263	328815	403769	273892	21366	117132	226089	39822	32290	32189	652703	64284	62696	67857	339253	31956	27946	279199	2129154	11012431	484458	7006868	1296881	12939	125724	12759992	2203646	93660	35899	15530	31435	117598	119385	50131	4330	12901	40456	219005	11817	29780	62825	88980	55480	42474	1502165	61375	420476	86414	641062	2923400	763510	71067	371947	78021	276950	1638413	172259	24824	39407	184582	33110	90825	128525	128525	18469	43863	44188	16820	114734	91576	6312	39536	20630	40917	54922	22817	19031	65191	37184	1957836	451858	25553	116531	387206	75317	315827	67915	253702	1240988	83822	15700	9464	200209	292664	58775	12104	2881	8700	103214	251300	43345	53720	44320	76515	107890	62074	59975	40735	37268	56464	6182	163389	209142	870535	26219	637954	124245	39902	48417	29960	132941	224746	1115160	88556	27089	122243	27606	117765	231641	42271	186985	18126	66639	269336	126141	23513	106633	6413	26184	31574	6864	44281	72751	66149	140434	39133	41977	14420	36741	57099	11826	94122	161306	19919	45338	81622	154169	38208	108267	26610	116996	22380	12922	61926	113727	447118	15367	102438	102438	26521	20354	71411	16281	75916	143244	83388	123866	5309	61226	18247	39737	4860	189143	50093	192121	53273	36604	163819	112218	17068	52396	54002	220261	54061	42587	34820	109204	182474	316067	95191	24478	7148	69876	18457	70400	64078	493191	500304	309086	307932	55896	185879	77959	9360	63474	38859	33601	83185	262561	145650	99221	28982	99221	53024	54225	18984	28199	46975	40126	35964	58793	161072	55447	65860	78605	39658	77875	20729	69104	5157657	148481	18399	39673	23937	68751	267698	303441	393942	151193	148565	133595	195103	301192	170176	149586	39758	76422	54021	27731	66623	19512	49673	1184185	6691346	277633	30007	33991	12909751	20808	28956	40045	10766	30592
