Samples	group	1014.6391_19.2	102.0461_0.94	1020.7329_29.96	1026.743_24.96	1028.6159_19.2	1034.6116_1.02	1043.5805_19.2	1043.5815_18.42	1046.5904_19.2	1052.7966_35.63	1091.6718_1.02	1095.6113_20.17	1096.8222_36.35	1096.8225_35.55	1099.6432_23.41	1108.7854_29.72	1112.6808_1.02	113.0591_0.69	1139.5752_17.69	1140.8505_35.41	1140.8581_35.83	115.0628_0.7	117.0791_0.7	1172.7047_1.04	1200.8833_31.14	126.1043_23.47	128.0477_34.48	129.0429_0.78	129.0589_2.18	129.0739_0.79	133.9962_0.67	136.0401_0.77	139.0612_0.67	143.0756_0.94	143.0952_0.7	145.0524_0.94	145.1087_0.69	146.0676_0.77	148.0159_10.05	148.0159_20.5	1509.962_19.2	152.0834_22.69	1529.9632_19.2	1538.9137_19.19	154.0997_23.47	155.0347_0.67	155.0692_0.57	157.9577_0.61	158.0831_0.94	161.1045_0.69	1610.9119_17.67	165.0782_0.94	165.081_0.69	168.0523_0.64	169.1098_1.01	169.1101_22.69	171.1265_22.7	171.1265_23.49	175.0632_2.18	175.0662_0.95	176.0473_10.05	179.0586_1.04	180.0785_7.05	183.0868_0.67	183.0895_0.97	185.2138_1.04	187.0633_0.94	190.0681_0.59	190.1356_29.74	197.1775_29.75	197.1778_30.46	199.1936_16.46	200.1785_21.25	202.0452_0.69	202.1314_0.99	203.1153_0.69	204.0901_0.94	208.1105_11.88	208.1471_30.46	208.1472_29.74	215.915_0.64	216.1459_1	222.0885_7.05	225.2091_18.1	225.9447_0.61	227.2249_21.7	228.1473_0.7	228.2092_26.22	231.1478_0.7	231.1494_0.95	238.0847_1.07	241.2406_23.34	241.2407_23.62	241.2407_24.26	243.1829_6.09	243.1837_29.74	243.1839_30.46	244.0725_10.05	246.1367_0.95	246.1377_0.72	249.0798_27.37	250.1216_11.88	253.2405_23.62	253.2408_22.89	254.224_27.04	255.2563_26.77	255.2564_26.12	256.2407_30.71	258.1829_34.48	259.1776_1	262.082_7.05	262.2291_25.65	262.2292_24.38	262.2297_28.21	264.1117_1	264.2455_27.59	264.2459_31.19	267.2563_25.27	269.2725_28.28	270.1964_7.21	271.9377_0.58	274.2498_23.94	278.0781_1.07	278.1502_34.43	278.2199_31.19	278.2243_25.63	279.0849_0.64	279.1497_0.99	279.2548_17.69	279.2553_16.73	279.2555_15.99	279.2556_17.18	279.2562_24.38	280.2406_28.21	281.2706_18.83	281.2711_19.32	281.2712_19.86	281.2717_28.17	281.2722_27.59	282.2569_31.18	283.288_31.44	284.273_34.48	286.2302_27.21	287.2098_1.04	287.2458_14.15	294.2163_18.04	297.2656_21.15	297.2663_20.6	297.2664_28.21	297.2665_19.65	297.2665_20.09	297.2667_20.61	302.2274_25.3	303.2036_1	303.2908_14.9	304.1498_0.69	304.2566_27.6	311.2068_1.08	313.2252_5.34	313.2252_6.31	313.3352_20.25	315.2412_7.55	315.2767_19.05	317.1917_1.01	318.275_23.93	319.2479_20.6	319.248_15.99	319.2483_16.72	319.2483_17.23	319.2485_17.24	328.2414_27.11	329.2563_8.66	330.2753_28.09	331.2337_1.03	337.2592_12.56	337.3344_30.84	337.3345_30.87	337.3352_35.28	341.2575_10.44	343.2722_11.41	343.3065_23.94	345.2674_27.11	348.1748_0.69	351.2377_23.51	351.2389_22.7	353.8872_0.65	354.2744_25.65	355.2719_11.22	356.2726_15.36	356.2729_12.49	356.2925_28.79	361.9192_0.61	362.3024_23.94	367.213_22.7	367.2717_11.12	369.2893_12.97	370.0949_33.34	370.3086_34.48	371.3036_14.83	372.2651_10.53	374.2825_14.78	374.2826_15.36	374.3139_22.69	377.2333_12.45	378.2277_27.37	379.2491_14.89	379.3289_23.95	383.3366_30.69	386.1731_10.87	388.2601_28.3	390.2772_34.43	391.2745_11.26	391.3057_25.05	393.3454_25.66	396.2884_22.36	397.3197_15.86	399.3353_18.07	401.3502_17.86	402.2271_23.97	404.2541_26.45	407.3027_29.74	407.3039_30.46	407.3589_28.09	407.3601_28.91	407.9123_0.59	408.2642_34.47	409.3192_15.35	411.8382_0.64	416.3581_29.74	416.3586_30.46	419.8777_0.63	421.8759_0.64	423.2739_30.46	423.2753_29.74	423.3351_16.76	423.357_23.9	423.8923_0.59	425.3137_10.52	425.3509_18.73	427.3658_21.17	428.2131_10.23	428.2349_34.43	429.3809_21.01	429.9065_0.61	430.307_18	430.3771_30.46	431.2991_11.7	431.3014_11.08	436.2256_0.69	437.2915_20.13	437.3712_26.41	437.3713_25.59	443.3714_29.75	449.3132_11.71	451.3853_28.04	453.2862_19.01	453.2864_18.24	457.3362_22.35	458.2754_1	458.2962_35	463.3084_21.08	465.3076_7.64	465.3234_24.42	465.3971_31.13	467.3012_15.23	467.3014_14.48	467.3822_23.01	468.3778_31.15	468.3789_30.01	468.3802_30.39	471.2951_11.07	475.2963_1	475.3219_35	477.2859_17.51	477.2865_16.86	477.3225_19.19	477.3967_34.71	479.3016_19.99	479.3049_19.3	479.337_20.3	480.2564_0.99	481.3172_16.43	481.3173_17.19	481.3175_22.4	481.3177_23.22	481.3529_20.15	481.398_26.32	484.3435_22.44	486.438_29.74	489.3429_14.93	489.8631_0.63	491.395_34.42	493.3162_17.38	493.3166_16.32	493.3167_15.64	493.317_16.33	493.5584_32.88	495.3328_18.42	495.4118_27.95	495.4122_28.72	497.8944_0.61	499.2698_15.71	501.2883_17.6	501.2909_17.04	501.3617_22.32	502.3026_1.01	503.3085_18.97	503.3536_35	505.3594_30.46	507.3316_18.22	507.3683_24.61	507.3685_21.05	509.3481_20.74	509.3485_21.28	509.3839_24.52	509.4268_31.03	511.3268_16.05	511.4076_22.94	517.3157_19.2	517.3158_16.03	517.3159_15.7	519.3209_1.01	519.3296_18.33	519.3323_17.02	519.3335_17.67	520.4126_30.45	521.348_19.46	521.3481_20.67	521.3483_20.17	521.3509_19.46	521.4301_34.66	521.5902_34.28	523.3637_22.6	523.3645_22.6	523.3646_23.42	524.2754_0.69	525.2859_17.04	525.2862_17.54	525.4233_25.41	525.4241_26.21	527.3023_18.49	533.2871_19.21	533.2894_18.42	537.3793_25.62	538.4231_30.45	539.4379_27.84	539.438_27.84	539.4383_28.61	539.4809_31.02	541.3166_15.84	541.3168_15.29	543.3323_17.18	543.3325_17.74	545.3478_18.51	545.3479_19.12	545.348_19.11	545.3897_22.26	545.7903_17.67	547.3627_21.24	549.2541_19.2	549.3797_24.06	555.4343_22.85	557.2874_17.68	557.7879_17.72	559.3039_20.17	56.0624_34.43	560.4047_30.5	561.3198_23.42	562.4211_31.69	563.3001_17.68	563.4327_31.27	565.3128_20.17	565.4473_34.59	565.8806_0.61	567.3317_23.42	567.3321_17.17	567.3321_17.68	568.3033_0.68	569.3477_18.08	569.3481_18.63	569.3492_19.64	569.4487_26.1	569.4492_25.31	571.3649_20.66	573.253_17.66	575.2708_20.17	576.4845_31.26	581.2847_17.74	581.3559_1.01	581.4483_30.63	582.247_13.25	583.4663_28.48	583.4668_27.71	583.4668_27.71.1	584.2207_18.41	584.2215_19.24	584.2627_14.41	584.2627_15.75	584.2628_6.41	584.2634_7.43	584.2635_1	584.2635_33.12	589.4188_22.19	590.3527_1.02	594.2498_19.2	594.2499_18.42	594.3521_1.02	594.4888_33.23	599.4624_23.58	600.2575_1	602.2854_20.75	604.1342_18.5	607.3701_1.02	607.4658_31.15	608.2214_17.66	609.4839_34.48	610.2373_20.17	611.8814_0.61	612.2525_23.41	612.3305_0.67	613.3942_28.21	613.4757_25.97	613.4767_25.19	615.1688_11.31	617.426_31.19	618.2484_17.02	618.2498_17.67	620.2656_20.18	622.2811_23.42	622.432_17.68	623.8406_0.62	632.2227_17.75	633.4449_22.1	633.8674_0.61	639.5798_32.92	643.4877_23.49	646.505_31.21	651.4932_31.01	653.2892_18.42	653.2898_19.25	653.5066_34.37	656.5279_35.66	657.5016_25.86	657.5038_25.08	658.5129_23.47	660.5184_33.36	662.2367_19.22	662.2371_19.22	662.238_18.42	665.5946_32.92	669.4092_1.02	671.7731_0.64	672.5202_31.98	674.5375_35.66	677.2876_17.65	677.4713_22.03	679.3044_20.18	681.3216_23.42	681.7992_0.63	683.7945_0.63	686.2363_17.66	687.5136_23.4	688.2528_20.17	690.2681_23.42	691.8282_0.62	692.4516_34.38	693.8277_0.62	695.4251_1.02	695.5177_30.89	695.8432_0.6	701.5404_25.74	701.855_0.61	721.5009_21.94	731.7346_0.64	733.7395_0.65	739.4539_1.01	739.5511_30.75	739.7682_0.63	741.7623_0.64	745.5743_25.62	759.81_0.62	763.827_0.6	765.5264_21.87	767.797_0.63	771.4624_19.19	779.5452_28.21	779.5458_31.18	780.4496_19.22	789.5866_35.67	789.5987_36.17	795.6071_35.67	797.5555_30.71	811.617_35.67	814.69_35.68	831.8169_0.61	859.6825_0.66	871.6169_30.35	877.7375_0.64	877.8195_0.6	883.8195_0.59	89.9693_0.61	894.6636_25.29	938.6917_25.18	942.9824_0.57	951.8179_0.6	958.9578_0.58	961.7943_0.59	976.7091_30.12	982.7166_25.05
2	Factor1:CASE	14274	316320	4516	2945	18558	4198	149677	12523	48566	166061	16199	41172	79338	270200	33733	5604	13138	262589	11822	251121	50971	245510	726511	26949	36934	37245	124601	231854	17150	111879	101829	16086	597426	32431	1306395	76331	36215	56634	593826	622609	23244	63618	22360	155089	33201	92717	22036	170738	64511	1244140	83150	1442082	73591	86654	32616	20534	83201	89981	12442	19613	73404	6677	354707	532143	370641	82188	1064423	46281	24315	22514	33533	131699	18046	836100	74660	367148	315909	41908	39393	83922	207827	16914	162945	130413	402313	714589	91328	35493	8782	13528	54815	92451	68819	74012	24667	106886	85878	68155	19603	2385	27407	25922	89794	1255257	59195	1224286	42239	414671	86219	10663	76394	20951	91361	21674	66070	226154	247011	295299	147050	26726	37453	34198	30587	120401	30430	37905	6029	3764	31681	77265	85014	107442	877900	264474	17573	31341	19346	1141895	12651887	652925	274458	48963	72871	122843	11614	29651	24106	74795	18394	52615	124785	84498	7646	77799	21748	8137	217662	34529	71342	23694	37228	101271	3362	13591	24687	28164	43796	40068	52239	63956	37921	6290	67845	16911	21691	156806	86033	537219	14295	39073	4148	13664	10177	84735	154339	44493	57407	14840	66410	35722	96996	79885	24998	51606	21264	42793	28002	643756	18871	28252	219212	60842	50330	20480	12789	67744	21632	194943	118625	18651	1045955	4541	11632	89805	36793	16197	69502	88224	37652	34685	122646	61841	67905	12205	47447	28918	20135	30686	12019	12377	60649	39295	18598	24863	54500	45966	40215	19998	168990	32550	12858	93149	125913	94284	49382	57140	79913	291905	8390	22734	20798	151836	29012	81544	124157	160718	19640	197451	8883	667881	12960	59331	25991	24135	202121	29580	68514	104575	73118	274766	19436	7451	191723	406676	61208	44970	11733	406495	58402	73976	4426	16490	95150	22525	160686	120301	30984	26495	26281	10386	19487	40776	13691	466301	48866	317343	40768	1938284	125261	40518	59371	19256	207672	30651	185143	7065	29537	143681	16960	45742	19983	74157	107819	150667	24388	23935	22699	65136	823045	83558	65250	13589	98249	1441790	9833485	207409	856816	168773	6122502	820476	32782	80226	592986	773614	6012280	5480	24468	185980	158753	23034	10471	86945	11654	17614	286212	94954	106782	37340	31718	210166	35083	226364	1283597	87362	389611	549479	230601	58919	51072	25414	41962	58414	82433	14832	42348	109200	95074	38266	108502	26002	16085	29544	13726	57341	22757	73549	431805	1672	8504	43167	11495	25424	131001	13585	39290	26022	36039	11472	30610	10706	13706	29694	73451	73992	20892	44515	16661	10004	256688	6738	169194	109822	212901	40073	93897	25840	31367	85285	34296	50522	49826	25740	30108	11329	38998	10106	37920	89604	29898	4539	16371	24461	94365	29283	21609	11741	48556	48732	51194	10066	22502	11693	189386	67726	128127	40877	81295	6160	17849	35719	9405	60473	23781	62095	38505	21807	45490	45490	14538	43086	21735	11843	110830	333990	28845	144475	33407	33263	18419	14924	28388	34075	29841	25479	35721	15575	18352	16247	3896	22409	17879	42177	104424	7988	9714	22168	9022	15193	19800	17861	16641	20777	66141	29975	19351	102706	355681	32917	27176	28186	26097	264644	98470	18568	19053	3986	14213	12486	22313	15186	200894	7654	7932	50734	28440	33207	8953	6008	9120
5	Factor1:CASE	16772	235965	17986	18664	24229	1877	209886	23648	70013	153841	6015	39267	74872	252678	69292	15273	4735	249257	20026	240195	53573	162175	584375	12447	33981	35910	117990	217012	72181	103257	89063	25536	430310	49806	994791	108798	31042	22205	602689	553487	28702	60246	27029	222130	33058	68914	18058	205138	112032	1715506	68746	1571220	80012	104104	14336	21995	106620	100053	42588	19614	74694	50080	441192	379859	234174	79569	1339385	32940	58229	46072	67850	127285	8202	1241801	58033	518610	243703	66771	84249	176237	189885	11684	145806	40974	464532	422266	86806	33508	15735	24151	62789	58209	43730	45198	41362	239935	188828	81551	81762	9026	28625	38382	47180	397466	67914	973543	30093	334103	79283	13181	86611	22580	28935	25188	94129	126436	160598	109328	80040	18699	33137	24170	34056	117384	41273	36771	7601	6006	34029	76247	80688	99205	277609	316831	22487	46571	36491	698989	6700077	431805	332477	36359	73108	110796	34178	15220	54836	165049	21469	148883	188107	180483	16184	53008	24856	11916	139898	10047	111498	39591	36933	131547	13224	11117	24066	67368	41070	41543	52650	65178	113976	14353	50290	25661	32459	141473	77040	610201	16853	38882	13285	43227	10578	115085	157565	46177	67192	34170	157611	142239	72649	87975	25391	54715	30763	46564	20510	547144	14994	33662	151494	147791	54601	19523	15425	74961	23251	179875	113763	19265	975388	8611	29564	72953	2817	19263	63614	104716	41222	31777	240079	117446	69173	15726	42559	28004	50902	34265	20515	21698	58336	35409	33380	47188	80447	44040	43633	22261	143810	24527	14227	91764	129915	112706	35348	101444	18181	41157	11707	35920	18460	119354	44503	16949	124355	225876	29012	27649	12422	653677	20802	4481	36158	24477	305261	42742	68870	59062	61476	198923	1903	12818	179031	378946	62385	64117	11082	213099	32116	105101	7644	23808	148782	35485	236368	168394	36076	5658	44437	7400	19975	40667	16118	742478	85921	530249	43323	3354889	113474	38042	70851	36190	214282	37522	31125	10996	33394	135519	25970	52888	18027	106146	136405	221941	28909	22193	41397	66811	992520	94989	63257	18906	71270	1496930	9152204	132152	849782	173192	5749714	811915	23456	79227	981454	1303054	9883507	10798	48768	380952	159730	33327	19944	100573	21156	29023	171012	110413	107382	38564	35239	396620	72183	274644	1303487	110477	433249	603394	52108	51635	63043	32820	45544	60063	84619	14890	37743	94352	53215	64288	22882	19061	13482	19869	14190	69594	27304	143673	843460	7186	14522	71906	17090	27613	138467	16522	35225	26401	36680	14044	17819	9343	5663	30013	74866	75128	30722	47896	12680	8646	189088	3455	138944	76235	67600	17695	118408	41706	6240	86300	31749	35593	37618	22662	18908	17556	40988	9584	37548	100681	37531	5370	19486	20529	97260	14979	11582	13824	48622	48595	74123	7635	30815	11199	87257	78661	127703	42328	56424	17575	32082	39652	8680	66292	22239	64469	35807	22766	51010	51010	22369	44122	15762	15292	113932	380303	31059	82939	33874	43597	23245	21089	31128	30987	32329	35948	43495	12577	20674	12033	18947	28551	32678	58118	68444	12936	10329	21086	28282	16562	24073	23609	23195	28219	52119	32820	30175	168688	224468	36057	32789	26699	29225	215941	113298	12795	27124	11227	12710	11654	27247	14230	179856	13287	19525	60238	36942	48758	13332	13907	21421
8	Factor1:CASE	19467	210644	21642	17461	24764	4423	221693	28011	72444	193904	10601	47231	81386	275028	116332	17313	6455	231296	20346	255610	50906	114935	691186	8805	33327	31020	126022	224515	16201	72159	76858	7378	444227	42904	906373	97780	21484	40317	501680	467560	32215	60682	23766	225414	23818	56957	22859	275587	102009	1186303	62756	1388002	69907	142246	21292	22486	89350	94076	9446	34558	76387	12191	102985	322930	194985	103391	1191199	47646	19962	18048	20819	131256	11738	884112	72076	342528	219503	16831	29799	58850	175482	17179	30244	41766	653475	429411	68554	58078	10192	10679	59475	47494	40575	42250	16034	85376	62014	76059	64795	8929	25596	8762	44188	476435	108473	850939	28908	516979	88791	13488	17821	51941	48174	50357	132194	142271	360038	124916	91107	40023	35234	34561	24444	112179	31908	65832	10167	6879	26655	56192	55618	78350	393969	654652	11464	16182	12839	834729	7564728	997003	184593	53498	71147	86291	27826	13904	46370	149829	48396	85341	143647	163040	9726	63672	25531	11523	171309	6026	55652	24650	39906	97738	11666	9685	24693	60862	34734	34295	42352	51825	84434	9245	68631	18773	24821	127768	73041	433036	14354	41249	12683	31759	9920	100786	163836	42689	162152	10901	2221	12827	166637	137215	28321	62423	30922	47758	14466	698634	14034	2700	55340	36735	57897	21371	13933	81441	23447	219155	131408	20602	1141139	4005	26721	78074	2570	18931	72069	105552	36961	36319	81816	41408	71673	14909	38667	30251	12391	28996	7356	8487	52067	31167	11984	20271	86945	44741	30991	17089	172555	44354	15045	103673	139416	192636	40532	46942	13936	31504	12134	33021	17419	140563	20691	13607	128598	205332	26868	26453	14844	699300	20024	9112	52618	24739	129043	18422	71793	80926	64894	240681	5251	14415	197714	291914	49158	60592	10870	156248	23959	167131	7429	20762	156332	45823	324284	208986	29303	4325	20422	5552	18558	47316	39433	507500	49969	308695	46658	3386876	137055	38470	119582	16870	300305	57945	31024	9664	40175	151230	16823	41189	40390	152603	213339	347053	64889	24312	27012	69648	986826	46075	29907	22814	88837	1551420	8737872	169432	1001866	664777	6687030	959419	29765	98750	1508791	1960123	14153663	10904	40632	299330	162861	23972	18183	110580	22327	41639	217311	105822	102132	39314	24103	82969	15305	403461	1958698	179804	578053	798972	53458	52343	60561	39135	64209	58295	86615	19958	45118	107504	62537	78296	47047	18021	14576	20693	13636	140854	31449	133283	659446	9031	21434	78952	22836	25242	135341	30280	37061	31033	38119	18921	23896	9425	25705	30756	73224	73815	27702	44718	16478	10357	466812	11950	433508	113300	65804	20288	133335	45615	15364	127782	33590	100114	34300	21006	21307	16142	37658	11591	37855	160229	38795	6276	53243	25010	94251	1681	29719	17436	52921	62285	105167	6493	32560	14472	89026	137984	145171	39882	120704	15131	32579	40943	10497	110209	20552	63851	23994	38874	55872	55872	26371	50374	17461	14255	191681	688124	31325	90233	37100	50688	23583	18084	31711	33666	36672	43147	48252	24848	20796	13171	20130	28124	23913	135920	67873	12681	8189	15645	32417	18301	21692	24559	28272	24599	46816	30942	30968	338456	598790	41685	27274	27655	34211	367112	125168	25643	28441	9314	17549	10101	26140	17044	216810	18227	19268	60434	73854	37721	12271	15798	23255
12	Factor1:CASE	16876	239553	29039	18318	20935	3100	171854	17408	61443	212831	5858	32196	93976	311678	54524	25359	6756	202745	23291	311736	56164	100354	365020	4646	37223	36151	126121	140260	12874	57622	66777	25111	305080	32465	665549	81807	31572	30330	502817	1206212	29631	61108	24168	161746	34113	49637	19455	291059	105476	1416864	16799	1244392	51053	96039	11948	23745	89460	79948	9029	36630	58763	4953	166798	255744	264857	109006	980689	43161	18620	16937	22765	116674	16432	875244	69648	356451	245266	25502	31319	57918	185757	20457	52797	28418	705099	259321	65703	54982	19201	17258	26106	30207	23014	24930	23776	92378	71009	71843	23963	23168	22891	15112	30466	271203	135911	552874	23670	492614	79938	21262	29499	29524	31588	29971	158852	100575	337847	63790	57785	19211	29134	26165	10159	126266	20119	48345	13229	8980	23649	46144	46170	60507	263879	405616	16727	21474	13106	508729	5410327	913825	150971	46122	56853	136490	41896	9703	39642	108921	29347	81103	126019	120642	10027	79377	24232	13734	121420	9836	52022	27842	39846	132803	21400	7860	24256	45977	28573	30088	37007	45545	77767	5827	64740	31012	22932	115237	109635	1041365	20257	49197	13875	29985	11374	72548	162972	35769	45490	15005	62584	74554	115660	150948	27757	53028	29287	76923	18484	644575	18114	31318	97571	58709	76229	17136	12947	51003	23244	164204	8489	20065	1074437	6693	23612	88396	2263	32249	76306	96602	31548	36722	81626	43127	68444	17324	45145	29468	18015	27741	7556	6545	57926	36136	12954	17987	65520	42327	24793	22140	207068	26098	16699	95297	137874	217246	29282	79687	10684	42434	12306	48713	23951	136301	25198	9319	128599	133216	17803	21989	13689	568161	38357	8388	61172	28770	293199	41343	68387	66935	53989	176367	2434	16706	208846	140774	23885	53154	16454	127572	17627	128579	7899	20210	143389	23010	150964	162196	30161	5567	20694	3878	17647	42878	11696	646747	77656	464025	62929	2695978	135014	35489	136411	9444	180557	37801	28549	10386	28654	153104	18648	34426	25043	156416	94359	178729	32760	28942	21471	66354	960963	72024	50167	23082	68476	877209	5267710	134376	877935	176314	5516085	841256	31318	142054	926997	1217077	9136552	11499	35188	227385	163341	25328	16798	102971	16553	19329	192728	108024	104853	39773	35498	192387	34658	411072	2145914	178091	662917	921420	52916	21845	52289	26700	44725	58655	53637	13459	35618	101043	54378	56526	34286	19258	12932	29498	19624	160460	40117	157226	963851	11362	22982	103175	35387	27465	135559	38902	19814	20211	48558	21007	21690	13749	18465	30745	73569	74608	20689	40595	24717	14539	332839	6661	303869	138104	64499	11677	119881	37249	11394	87866	37070	63248	30231	19131	20713	16475	24826	18465	28996	164167	25676	7217	23621	25642	96490	7664	25049	10527	36787	52063	73002	3097	38755	13536	88704	143650	188488	42441	87818	16933	26310	41577	18892	71761	24823	63061	26622	31297	47992	47992	19222	65289	15706	13739	185636	656193	24403	82189	30295	39545	22973	16664	21126	33845	27729	28155	46033	19353	20993	13422	19840	26815	27665	150116	68905	11514	7762	14784	37794	20258	24626	31133	30942	20010	51596	30613	20943	201761	428701	35165	36208	29496	40822	270520	188437	38431	25853	3797	20613	13053	19308	17183	250105	15098	19863	49498	82021	44771	12831	20469	22529
15	Factor1:CASE	24975	511854	10877	9677	27443	2279	219430	25666	78598	174309	3932	48799	100985	278072	64144	8398	7234	307075	26851	291166	74757	423573	971979	1507	38965	36685	143749	233655	15488	108493	89577	34347	448680	40877	1425610	94368	33785	80283	515576	1104553	38456	66320	31834	214586	27447	81592	26675	291112	115950	1374287	56403	1969528	78616	92820	26320	32811	97087	89944	13501	53214	61337	17745	152216	405715	520505	137516	1435816	34106	13885	14164	17640	111947	17800	732398	82550	343023	510325	29046	24666	48346	196739	23721	79466	27858	718662	300441	85349	48586	27712	43990	39515	41550	35436	34467	20789	73014	61527	74180	117694	9411	22908	26499	31042	339796	96337	628151	18702	422828	101400	20035	31258	23089	28574	26342	128481	95527	230368	86350	73259	27499	35026	33854	21145	125187	28914	38490	22008	5883	30188	64190	66162	82170	302241	356130	29171	59171	34317	555269	5950334	665613	179447	45009	83014	125586	24764	7707	29987	84246	23324	118669	110528	92290	6151	63839	25670	12749	117126	6532	71594	28729	37924	155927	7082	9623	23514	36371	39445	38320	46643	56734	68419	8506	64505	29575	37555	117856	95408	606006	15923	42904	10073	29603	10870	99233	213043	43271	89653	16312	17795	22526	115802	160903	15621	57321	26025	44050	16600	749579	14963	9314	11144	16576	72254	26808	15711	103121	21671	169843	9769	20135	1047065	4249	16054	73805	2017	21913	77305	89371	40418	33297	58842	32855	67966	13704	51992	36943	5772	33065	5243	4077	62591	32558	10191	12680	78909	43934	33013	7377	201837	40595	15517	96748	130221	237053	26467	60957	8705	92771	9597	58594	17481	155412	19758	8319	124190	205198	28339	24712	12811	697136	39137	9688	68491	24619	317286	43348	67551	48233	29788	119063	5491	14973	276078	277824	46878	68083	15773	166796	23873	141882	8335	34184	194357	38636	247012	209032	20860	4453	13820	8615	15433	45857	18335	693090	77908	476543	57148	3626560	127201	28432	152299	16606	246613	46963	28976	9807	37279	197693	14829	53574	27844	168904	227269	264972	47396	23862	20728	66749	1163797	55460	43657	19979	127693	1548421	9720373	107346	1086398	365191	7120275	1041603	35067	136688	1056977	1344244	10302972	9440	35215	266681	150952	19851	16614	126756	21113	25760	138987	104986	101892	46391	74493	135810	22287	429955	2414782	196281	781241	1085358	48842	51097	99924	30298	61843	54768	97029	25101	46121	103272	30075	71852	7397	19579	9236	25189	17728	152853	29469	173204	1051541	9153	20719	109147	49969	23773	122694	56475	36051	27867	23170	22515	14935	9155	14533	30381	72314	72850	26237	45868	33878	19287	320980	7554	376763	163789	66588	7277	140147	46721	2985	56714	36435	76413	49333	17854	16949	11713	36488	17041	37127	164834	35568	5668	18213	19667	83312	8698	16572	15541	60484	65905	83574	7684	31342	14209	87613	139211	193767	42956	97182	10866	39001	50973	13522	75198	21175	64269	30380	46561	56318	56318	25915	69626	12586	11912	218932	765481	35835	86954	43200	55408	20716	16199	32227	34832	33389	36006	42208	19756	19232	9006	11542	32764	20113	135394	71347	10996	8103	10740	22377	16808	21969	26100	24591	27171	49345	28275	33119	284078	334005	41457	37151	22063	31738	270263	194861	38590	31649	8072	9283	10559	25867	20124	322763	8175	11118	40452	68036	42699	12320	4995	15142
19	Factor1:CASE	15809	295684	3738	3733	16316	2410	161321	14260	52448	234907	2684	20037	93658	325116	46984	4417	6284	202937	11308	290593	65926	194119	387153	3627	34440	37939	114499	209771	14956	32832	86133	31054	267320	26593	275223	61373	21238	52507	393714	1008012	25789	65297	23397	154945	33701	39614	25624	341832	78511	1272834	18879	1171585	59218	107930	17771	25373	94511	105783	11186	24080	55698	43338	135466	94997	260294	106910	925249	22604	20888	19492	22911	125189	14281	963564	58806	377984	303309	29446	33554	65652	152678	19419	61011	25426	865138	289397	58253	34116	23174	15035	36357	38833	24440	30330	22092	100060	74468	52568	86215	15175	24927	18419	40902	279642	53775	639398	18172	302141	80234	10851	26946	16923	28574	15101	41703	101959	131605	71048	67289	18846	26564	29292	16379	109084	28679	25780	13340	2702	34706	56900	61474	77859	291872	209557	29363	52405	33099	559140	5152562	364185	204463	39354	55924	60424	17500	5258	34043	90053	17190	120393	127504	98673	8775	48554	25680	14726	98777	9805	26483	10078	41654	52129	2802	1663	25191	40965	40168	39383	50167	62538	46472	5292	53270	11900	34493	128761	112149	589832	4904	32075	8036	20146	11339	102203	199303	25468	52540	10003	33850	22929	66852	198208	26645	68260	16462	34004	23936	631861	14075	18021	32544	31761	73103	16552	16573	50132	25768	185848	112486	19151	957561	3052	16632	71614	2109	15653	61853	106489	51961	27799	75012	37977	71821	13652	39063	30518	9892	19907	7082	7038	61987	28011	11823	16269	70249	46950	25860	14166	138632	31314	15922	90556	149445	300152	19925	76376	21021	15569	8613	37545	20634	161714	23203	3356	132154	180887	24946	25683	5046	683090	24391	27155	43318	26783	299613	43052	70792	48306	52037	159798	7304	5660	219293	201214	35789	45850	20791	143937	23206	80954	3278	29285	180373	34433	204045	128983	24516	5302	19121	3563	20377	46581	13665	453950	48146	286472	62762	2297406	123787	36174	196232	10780	151782	31442	29701	4219	33108	188907	17389	35090	19090	83909	145037	202196	27864	25354	22553	69412	902388	64318	30224	5282	65277	862198	5022357	117696	603020	288200	3773628	577429	37292	132996	852114	1117699	7856553	6718	33437	228582	162388	24731	11135	99855	13809	20679	131714	116259	112726	45353	33563	133499	27434	234245	1113786	114626	430510	598027	54868	24392	50097	26960	29739	61612	54105	9086	19860	84750	34073	54193	16541	10664	11989	12562	32137	208698	18690	82276	434787	5658	12302	46871	8787	31605	127688	15178	22850	14558	27032	10494	5582	14736	2728	31218	78685	79029	19283	46259	15627	9087	127695	1602	130646	98908	68506	4653	118718	34108	4888	74567	38359	21422	16620	18987	4053	10085	29180	26004	25186	197934	32430	4363	8047	24742	87420	5036	10105	9644	38619	39896	67965	2527	41535	10038	88919	178179	182920	42223	76500	5910	25256	44692	20327	57204	17611	66803	37981	33542	51657	51657	17956	65133	2549	10207	140488	450298	28610	91526	25426	44482	23385	17527	24377	35092	21217	30555	53043	16000	21939	1524	4329	27864	17209	192131	72836	6350	3544	4190	13678	11069	15813	18514	37922	20922	55276	24310	19879	173903	195557	37453	40539	34967	43050	258946	204176	40974	30966	2915	1721	7873	26354	16734	334587	6925	7567	50494	105280	43131	16285	2141	6676
