	12	15	19	2	21	23	25	27	28	30	32	33	34	35	36	39	40	42	43	44	46	47	48	49	5	50	53	54	56	57	60	62	64	65	67	68	70	71	8	Sample name	C12A	C15B	C19B	C21B	C23A	C25B	C27A	C28A	C2A	C30B	C32B	C33A	C34B	C35B	C36A	C39A	C40B	C42A	C43A	C44B	C46B	C47A	C48A	C49A	C50B	C53A	C54A	C56B	C57A	C5A	C60A	C62B	C64B	C65A	C67B	C68A	C70A	C71B	C8A
Glycerol	105852.09	61833.99	94407.85	87689.21	67414.58	65794.00	60057.96	73972.72	62691.74	99457.99	60576.00	125912.83	77302.67	103238.96	167691.06	110018.23	92680.00	0	79932.68	89507.76	86775.01	139981.95	124342.82	149299.10	57200.00	107049.39	90038.00	223101.58	184842.80	111711.38	115232.12	157508.57	234345.20	125224.32	0	0	101105.83	121800.52	78885.35	0	77344.86	66707.81	77344.29	98920.65	148750.73	99504.91	66360.00	68912.23	60248.50	116625.99	72180.71	83522.19	83291.68	148173.00	143554.32	117952.43	170847.07	184082.89	130637.25	120105.28	127044.93	262524.70	109571.18	188830.95	84787.00	127548.00	85923.12	145763.01	146886.20	113708.19	148206.70	92098.63	95674.53	225090.55	101655.35	142622.09	80433.62	123096.84	78868.96
Glycine	28542.99	28062.97	64021.47	64313.29	34202.76	53980.25	30797.91	51906.63	23900.79	37542.40	31441.66	34466.91	53257.39	71817.43	33006.55	25702.68	39747.14	0	44070.13	24853.10	61464.82	57542.82	82798.91	46848.28	18826.44	36682.11	32241.70	36748.77	326958.41	69613.82	39339.32	184794.00	84760.10	115309.57	0	0	49049.11	1377.36	68724.13	0	19612.86	30821.39	79452.43	44730.57	55829.57	46839.34	39915.98	47877.14	26923.18	25257.94	57383.41	53305.15	62670.71	47513.31	63646.64	46061.11	62587.21	43326.47	31649.64	174236.72	36593.36	173652.04	40670.98	68040.23	34281.08	48892.24	96229.24	107104.84	25420.47	114624.60	48517.47	56705.73	58667.66	135415.89	98568.49	52534.33	30373.14	90917.51	89438.23
Histidine	9859.63	6497.11	8715.57	10675.16	8292.93	10023.83	4926.60	10586.26	6163.78	6528.83	10414.61	21030.95	25504.90	13333.42	10221.97	13145.33	13953.67	0	20437.82	8305.64	15025.15	20382.84	18273.79	25755.62	7453.42	17828.57	16058.30	14981.09	61913.98	26876.62	12751.22	83569.36	60415.67	37448.46	0	0	42156.68	20338.85	8913.71	0	5938.03	11442.00	10467.96	6505.53	14237.60	17207.90	8836.29	9928.55	7048.82	9151.39	10266.03	14653.66	14689.65	11748.42	11643.91	24379.37	34023.15	18644.18	15848.13	17499.79	12176.28	40900.34	18987.07	22268.47	14022.56	30236.47	30828.58	50419.59	24471.36	16369.08	15277.90	15400.11	24460.90	51237.97	25085.20	30562.00	13354.00	41761.77	10566.19
Hypoxanthine	3630.00	3233.38	4569.62	4031.81	1519.97	1484.00	5393.26	5972.72	978.98	5009.75	2906.00	5854.06	4355.02	10921.00	3065.90	2277.00	1605.00	0	6486.21	3355.47	3819.00	6856.17	33186.74	1242.06	3232.00	4013.04	3207.00	3210.93	4128.32	3223.93	3798.21	2880.49	2815.10	7015.00	0	0	3244.49	10025.86	1606.56	0	1219.97	3507.30	4846.20	5946.83	1823.91	11409.84	4562.00	4850.95	4629.31	6672.51	4585.20	6899.86	6287.67	5797.00	5213.11	3195.50	5113.89	1925.00	1792.00	4560.21	23929.36	3137.00	22209.99	10751.85	3415.00	3217.00	3820.59	8149.00	2962.11	6358.28	1636.13	6547.04	3854.57	3618.44	5840.96	4441.38	2896.59	3531.36	2574.07
Isoleucine	21244.48	26771.08	25221.55	37496.31	22320.77	21965.34	22686.21	35842.24	19069.56	22276.56	18917.19	36785.48	34027.97	24415.60	24227.93	37075.53	34147.58	0	38830.42	22303.20	32996.38	40582.99	36165.17	33200.01	21823.48	53372.27	42556.92	39705.74	47031.39	28737.69	49627.94	33484.32	44935.74	27931.66	0	0	60875.02	75587.27	12318.57	0	18835.73	29790.87	22862.95	26884.56	35006.42	36860.57	17096.11	14678.81	18406.51	23256.73	34327.91	41466.21	25475.19	23538.49	32189.99	27023.59	47235.31	28098.58	29327.23	36584.12	27947.40	36240.34	55894.47	44973.38	53666.45	53628.34	27788.65	41377.90	62635.38	17326.77	38363.74	33171.75	40966.40	53621.94	25593.07	47485.79	23635.44	41761.23	14767.32
Itaconic acid	9987.71	9590.08	8134.39	9933.75	8719.56	10748.33	10220.34	13013.29	8182.47	7533.16	9169.45	8825.85	10583.37	10050.70	14029.00	8954.07	9927.80	0	14412.38	9628.85	9438.11	10588.63	15906.16	9541.27	9075.40	12336.39	11390.38	9793.81	13283.05	9239.61	10739.02	13482.68	12025.48	11649.83	0	0	12701.61	18636.87	13546.60	0	10878.27	9597.74	8801.30	9212.37	12578.46	15640.91	8661.78	9694.38	12251.54	10972.41	8871.07	10270.04	8615.74	9445.77	9903.56	9534.15	11126.28	7712.19	10658.34	8111.68	11895.75	10053.30	11188.45	15691.60	8023.52	12023.40	12296.64	10215.98	10254.41	10843.54	10596.25	9202.44	13312.40	10032.60	9061.32	11183.23	8487.20	14209.62	10855.80
Lactamide	27323.49	26042.30	32984.65	57674.04	64110.24	47557.50	40197.16	36915.21	35164.10	29372.42	57135.80	63682.54	53526.56	45986.63	30489.84	39014.88	63850.06	0	48573.54	37644.82	54288.92	37596.99	45987.51	52358.12	49468.55	37685.49	76349.44	54208.89	72913.46	57725.65	39867.07	62688.01	55168.35	123964.30	0	0	45844.52	17589.26	39159.44	0	30876.07	36759.37	51628.60	61984.08	39640.98	31184.41	43553.32	88042.09	52560.35	37015.69	45593.11	48600.97	26898.11	83333.53	26762.12	219472.24	61269.98	103277.70	105226.57	78224.09	112566.14	110770.05	27862.29	75709.86	58277.53	95425.50	49109.59	158925.53	41920.82	122636.80	92037.96	49571.16	100793.83	89556.20	55587.76	48903.74	40645.69	26957.44	58765.64
Lactic acid	1017895.81	1225662.67	2328359.71	1878619.49	1382905.40	818627.85	1298074.60	1538106.21	889938.06	1132611.62	1297353.76	2418614.35	2653455.92	1828350.48	2176998.75	1741422.63	1037970.06	0	2016987.20	739960.61	1905240.48	1641426.72	3832221.46	3286416.78	1221090.64	1716287.15	2654426.15	2454967.63	2965302.32	2635695.35	1813849.72	1318053.25	3144644.13	4396603.39	0	0	2103336.07	3348105.62	1165842.17	0	913283.00	1366284.92	1152348.31	2212034.38	1126084.24	2140243.26	974150.54	1949081.61	1589107.55	1088581.03	3378222.41	2181275.98	992466.34	989833.84	2033492.07	2248696.08	3410971.79	1220868.15	981423.66	1740733.15	1824973.49	2046229.40	2617755.23	3073401.93	1613750.27	4054243.82	1916424.38	2849997.73	1803596.84	2180151.75	1027671.46	3084554.58	1560870.60	3546537.72	1739533.07	2340341.84	1683977.93	3944247.01	1123565.42
Leucine	128392.82	146543.22	208442.66	254732.28	156226.48	141390.05	119786.30	200908.55	112566.83	144581.65	156132.99	229444.11	246016.28	187026.57	129080.74	240399.32	214705.61	0	248110.67	116798.94	321577.52	261565.01	244575.38	220810.41	128285.54	345271.68	324518.45	264609.81	522401.36	284042.82	291482.18	374233.98	370705.83	320460.90	0	0	374988.84	123939.62	128408.82	0	98577.02	191729.96	140926.10	172885.91	255261.36	221052.46	151464.53	229516.98	133926.70	144327.02	259284.10	277073.63	156767.08	196309.48	199289.78	227991.14	336050.17	225064.54	203994.22	373837.21	254737.49	322293.23	375567.23	286193.41	336502.54	394692.80	271882.44	281066.66	336253.54	195115.87	278185.68	360224.31	265404.57	422837.45	202926.21	277648.71	168175.53	298917.81	136453.07
Linoleic acid	16568.19	7237.17	9931.39	12121.24	4790.76	9665.11	11147.39	5854.75	5796.91	19287.77	4547.53	29210.12	8895.76	28987.44	32142.86	26117.70	12828.53	0	6222.75	7352.50	8018.01	19127.67	22346.38	11198.28	6367.79	13718.02	9992.52	30319.75	21805.64	14975.42	29925.72	20717.48	20992.98	17005.63	0	0	16792.35	24395.25	12913.24	0	10329.16	14239.73	8589.89	14311.09	26980.59	15117.35	10701.29	8919.12	10346.26	11865.19	11621.86	30765.51	5428.98	18252.94	14199.83	37874.26	34008.03	20919.58	27390.70	19614.70	49849.89	97480.37	7980.21	24067.01	5207.43	25495.86	15197.27	33928.24	18178.01	30229.25	15071.35	25716.72	35880.80	40711.84	18753.37	15290.24	14542.01	22997.96	11909.78
Lysine	1812.83	618.33	2242.89	3658.59	1001.40	953.71	841.23	926.67	595.43	947.00	1421.34	2223.73	5551.75	3564.96	1053.47	3841.98	2952.63	0	4331.46	692.00	4590.35	3349.53	2725.27	5556.85	895.39	2498.31	2689.50	4681.17	20727.86	8148.12	5492.18	16705.20	9336.51	7298.24	0	0	8164.20	2595.45	1707.77	0	1065.11	2470.72	1845.09	727.36	1281.38	2322.50	764.13	2171.24	776.41	1076.50	1784.35	2570.34	1993.00	2323.34	2452.12	5717.39	4219.63	4890.00	3979.79	8381.54	1726.34	11614.94	6007.22	4426.88	2306.62	4907.73	4860.59	7004.03	5186.60	5119.28	2440.67	5650.78	3333.53	5968.74	3581.69	3609.59	2664.60	5656.55	1584.17
Malonic acid	100892.95	82302.28	154381.43	155490.78	134622.68	144283.37	112020.63	144438.91	104494.03	91979.36	120769.89	126238.73	213989.57	131324.37	139258.24	202293.09	226165.18	0	205183.38	92141.38	161543.74	246780.11	190233.71	235455.17	104226.74	245107.54	218973.71	230305.23	410676.55	179439.58	136397.79	583555.32	311476.96	255604.36	0	0	318005.38	242434.33	85569.35	0	78086.29	138790.83	160044.66	131068.60	287506.68	181180.54	101926.55	111110.03	101152.48	97561.83	136869.61	190585.03	168809.67	143381.97	144427.36	157801.38	367745.11	233563.98	93234.96	215468.16	229734.42	356178.36	161939.22	139515.97	260850.03	274166.74	225265.22	278782.79	184296.85	148351.56	232323.30	168333.10	223350.12	276819.79	291783.36	288356.22	191128.78	297117.36	150144.20
Mannitol	316460.30	265038.72	524510.52	461508.35	289238.89	481019.74	267984.33	457143.39	251541.47	337882.87	393789.26	2147604.53	528784.17	647187.02	492223.51	892151.78	398531.31	0	670426.71	342906.53	643116.67	784443.01	496603.42	837360.42	489117.62	892567.29	549867.77	702183.60	903208.21	654772.14	750848.65	1064629.96	1041899.22	766665.95	0	0	1138103.60	610445.32	266595.93	0	247813.37	485879.30	403023.77	287614.10	443945.32	542498.69	363531.29	433855.95	83505.95	464213.71	398709.67	637399.41	519501.62	467916.24	507360.24	639511.71	1184392.08	546588.54	1120600.03	790469.74	489375.11	1022521.08	701229.86	744417.04	439845.51	931786.71	600270.43	506380.54	2214729.89	456399.43	613056.92	487201.78	793397.95	837839.38	573188.11	1456199.87	518006.96	875905.48	348813.63
Methionine	3180.18	2952.69	5866.15	5186.62	4216.00	4124.17	3755.85	5263.99	3882.01	4384.17	4644.30	4803.47	6942.43	6746.09	3163.38	6683.12	10445.50	0	7294.56	2686.33	10075.22	7554.82	6308.84	7000.73	3219.23	6981.43	8506.79	7617.03	25595.57	8441.19	8210.27	18072.68	13105.06	14656.94	0	0	9773.13	5991.02	4975.06	0	2371.99	5243.36	4144.96	6492.80	7305.82	6818.91	4942.87	7176.29	3634.65	4480.30	8864.02	8094.26	3937.21	5405.49	6598.76	6456.68	9849.04	6786.40	5083.78	13373.65	6087.51	12673.77	7678.63	12775.26	6719.62	11406.61	10871.29	10442.13	5905.49	9310.42	7486.57	11162.95	7994.52	14544.67	7406.71	8073.96	6502.36	8004.38	7095.76
methyl-beta-D-galactopyranoside 	28642.65	43658.81	47559.17	28807.75	47727.18	57680.59	43515.97	73054.09	81374.61	72860.04	47654.09	69310.01	77940.72	43388.99	21571.55	37291.75	48909.87	0	75336.80	32946.46	125517.66	124075.76	68274.47	106604.03	60056.64	90914.40	74660.95	77220.12	171902.24	151082.72	50612.02	98949.74	93185.80	85914.35	0	0	115370.21	63328.04	32954.48	0	24679.35	66703.86	87467.07	50363.07	48549.73	83557.42	86774.82	66441.03	47697.63	46462.57	91371.71	78360.33	72809.08	33402.97	36612.20	123214.76	84245.04	50713.10	8092.93	46394.61	63364.65	110208.91	80675.43	162785.30	79897.40	68748.56	4460.15	84292.10	5061.05	30680.37	75980.40	48754.16	100636.98	114777.42	86619.10	117549.30	79811.43	120870.11	59477.08
MONOSACCHARIDES	5122525.71	4274764.19	9250156.74	7989440.27	5002296.37	8377459.34	4377421.15	7730759.25	4107385.21	5373992.30	6906087.49	32921142.84	9209845.68	11203424.77	8424433.16	16198501.75	8455759.37	0	11487050.39	5709436.46	11298176.46	13499050.52	9106757.00	15041465.61	8615244.68	16581369.83	8831727.47	12465653.72	20550944.15	11326277.39	13594504.29	22009417.29	20196876.91	15653947.89	0	0	21272547.73	11569837.18	4465835.58	0	3991285.47	7952118.00	6768901.27	4902180.19	11417281.35	9537760.50	6163750.66	7596865.84	3918043.13	8037748.37	7599795.53	11348265.04	8749592.00	7887379.03	8847707.36	11297473.89	21874092.70	9506583.98	19886076.55	14105644.92	7678367.39	20057497.24	12539773.33	12880209.40	9323252.61	17449260.34	10910910.52	13686733.19	33071644.36	7791812.26	10432858.93	8658148.60	14882699.80	16578760.52	9998337.50	26678954.51	8852726.35	16798283.59	6031009.88
myo-inositol	7563.05	6345.18	7381.61	9738.08	9954.68	9861.11	5167.28	7186.27	4939.78	8351.67	8697.90	10776.89	13918.08	17925.07	8690.88	9464.14	11372.48	0	17273.50	7271.87	18386.18	18175.22	26239.98	20939.33	10010.81	15936.18	11673.63	14848.79	27648.15	19845.56	19123.01	31360.43	29977.28	21858.31	0	0	30010.10	18856.24	5291.97	0	5281.69	11119.22	9158.00	8025.83	14236.20	13986.18	7121.54	13209.47	6433.46	7705.76	10905.69	12898.76	9469.29	8036.29	11655.84	17693.72	18373.14	13594.63	20981.41	17603.73	13436.28	31911.50	15800.58	30962.39	9614.46	16165.09	14000.14	15409.64	25379.89	12326.06	9240.21	14382.06	24755.18	41232.13	16590.81	18298.95	10282.27	21635.98	8844.78
N-methylalanine	10365.58	7607.17	11789.36	10859.44	5721.57	14881.35	10817.47	6606.52	6071.12	14320.80	11611.72	22782.01	22533.75	13736.62	7234.86	19650.89	24446.97	0	15936.01	9427.47	26976.86	29664.79	22293.21	20563.75	7497.28	28349.42	19597.87	29665.13	82800.99	35971.59	21441.95	54409.12	39618.27	21621.66	0	0	36780.57	20079.27	11753.28	0	7324.67	13596.95	12160.58	8276.68	21778.19	13191.37	8746.02	14001.35	9818.93	12226.37	17586.14	18442.90	7887.22	13773.85	12737.86	22868.69	39127.97	28295.02	23770.35	31746.60	16372.05	36526.61	21613.61	18684.28	19552.90	33984.14	23023.29	57968.55	22975.22	22088.50	31954.21	31154.32	19922.78	47508.08	20853.54	19956.17	14144.06	28393.63	14923.08
Nonanoic acid	2211.03	2051.88	3241.80	4617.87	4407.43	2430.28	3241.93	3106.25	2566.69	2303.63	2387.09	2010.08	3922.06	1849.89	2174.57	1951.12	3532.39	0	5631.07	1312.00	3164.17	2341.70	2115.78	2880.76	2319.03	1677.14	3335.33	3519.27	4993.19	7835.51	3261.68	9959.05	5367.14	5099.17	0	0	3873.68	2778.15	5605.26	0	2504.17	1599.48	3000.16	4244.05	2299.67	2310.01	2310.14	3810.81	3875.84	1363.09	3688.13	3593.38	2439.24	3438.36	4043.02	3027.59	4649.67	4478.92	1151.30	8084.23	1480.51	4594.83	2783.43	3211.76	1953.56	2203.64	3138.22	2386.87	2719.46	10871.18	3329.45	5530.49	5607.73	3931.37	4371.56	2687.82	3156.22	4607.45	1470.41
Oleic acid	41506.70	22378.96	21777.36	26533.85	10444.42	20550.36	25538.70	14823.83	14734.41	44423.74	10888.65	67669.97	23258.85	67595.62	74505.81	66198.32	30336.24	0	16985.36	17370.94	21036.69	44254.93	57716.48	28408.81	13336.18	36925.92	22537.37	75575.68	47615.95	37312.02	72956.32	46599.10	44421.07	39061.87	0	0	38421.44	58561.40	28277.08	0	27925.64	34888.91	19773.95	29023.24	62631.98	34973.59	25343.19	18348.79	25033.51	33502.05	25557.60	69435.40	12935.35	52385.19	36040.80	94426.46	83094.11	49065.45	65808.07	41148.87	119230.20	228926.00	21232.33	60060.20	12712.74	48354.10	34207.03	79111.75	37771.01	74156.56	34832.60	60235.41	77881.81	98117.33	44702.07	39252.88	32764.91	50790.09	31879.62
Ornithine	18240.08	13724.76	21471.60	28649.18	18217.84	18282.41	8964.48	21846.57	13132.37	16138.07	24808.66	29847.31	65023.48	33094.12	17438.52	27976.47	27947.87	0	49072.69	13305.08	34709.82	44019.91	45061.41	73013.51	11755.54	38759.29	39641.84	36677.40	191792.18	83934.56	31845.46	251381.17	160490.45	101538.54	0	0	114513.65	37661.73	20891.66	0	11630.07	26106.85	22472.95	14647.15	27836.51	37201.11	16869.45	22055.64	17226.89	16821.93	23497.54	32426.41	34497.13	24309.72	27226.47	56931.71	81609.10	45262.17	30559.82	45241.63	22977.00	109963.89	47377.32	52418.59	32030.60	79935.97	78333.55	122029.12	41774.39	48056.54	36313.63	40155.24	58743.63	146596.30	70365.71	65934.44	31557.15	115899.99	24093.19
Palmitic acid	62770.07	41225.00	49237.04	60640.25	39281.49	48563.99	41791.00	43260.98	30250.18	57549.00	35617.00	100845.89	41720.51	83722.00	81070.10	84811.00	48199.53	0	41058.51	36703.57	40947.01	61688.00	77056.91	41550.69	39421.21	51041.12	48986.58	94550.78	65327.26	50446.95	93226.79	73229.58	80494.80	64817.53	0	0	52531.00	68600.51	43824.05	0	43467.95	51225.68	39518.00	48953.98	67323.98	72628.51	43844.67	43046.13	49728.30	46184.00	46483.17	85694.15	40010.00	73107.71	73769.25	89995.92	87617.96	69839.92	104490.88	70092.81	100700.24	204221.01	47160.00	95238.21	44474.75	88339.92	57094.84	100580.09	80561.00	66448.65	74358.00	96963.48	87082.25	143360.69	61796.00	64878.03	59182.69	75370.99	40513.03
Palmitoleic acid	2828.92	1856.88	1873.11	1605.33	1219.17	1181.11	1788.77	413.62	1386.36	2511.55	583.26	2985.75	1695.47	3728.10	2884.36	2975.20	928.40	0	460.76	1062.16	846.64	1691.80	3160.20	1724.97	1454.36	2260.73	1325.64	2710.23	2548.04	2506.45	2479.90	4045.95	3881.08	3681.04	0	0	1188.81	3555.23	1603.47	0	2625.62	1361.59	1517.06	1926.65	3339.59	4106.49	875.52	1141.98	906.13	2436.67	831.64	1919.76	1055.35	3742.44	2120.18	3568.92	3718.00	3148.07	3475.95	2408.78	7416.36	15184.08	1927.63	4736.67	1492.73	2046.21	2678.01	4481.93	3153.09	4117.37	2545.16	5389.33	4909.37	3269.32	2245.14	3768.84	2009.71	2771.89	1902.80
p-cresol	7383.30	4484.79	2633.20	5233.19	2508.09	3378.51	5126.24	2071.82	3454.03	1900.09	5427.26	4805.85	7567.98	1915.14	3073.11	4817.13	5464.04	0	3066.34	3538.61	11946.36	6584.66	2917.33	7559.56	3999.25	5223.15	9800.82	2334.05	3675.60	8063.05	4057.36	2540.46	10346.20	7676.08	0	0	3228.74	13115.10	7004.48	0	1979.98	10358.67	2115.67	9384.56	3520.32	1350.02	2228.25	4785.93	4757.05	5663.49	5584.45	5001.99	4214.33	4284.95	9183.97	6183.05	1418.54	2588.54	4765.11	7534.17	2395.20	7627.54	6198.84	1685.44	6321.50	5082.90	7193.59	3196.23	8819.69	3103.71	5315.93	3181.40	5717.29	2007.88	1351.85	5447.80	2050.56	5047.95	3081.54
Phenylalanine	13098.15	16116.03	13814.39	12340.44	7844.67	11533.01	16079.44	17178.72	11117.43	17070.79	11415.85	22364.98	18007.12	18737.70	15727.93	24119.18	16898.26	0	21724.95	15026.39	15454.40	21997.42	19116.07	18771.84	12571.27	21528.49	20531.28	22813.88	19021.65	15435.29	19875.04	14952.23	20868.16	15965.43	0	0	22882.27	9326.44	6740.57	0	11995.76	17069.70	14791.32	13132.59	16948.93	20604.78	13181.09	17911.35	10517.24	19076.16	19747.18	16433.80	15943.87	16558.46	16927.15	17131.97	21989.35	14943.71	16878.71	15966.39	13424.30	16599.52	25083.08	21506.06	15787.10	19098.48	16012.31	15424.99	21409.18	10475.08	15710.05	19060.44	19201.37	14043.42	16170.16	23984.91	17576.64	17951.56	11575.77
