Est,Sel_way,Fs_num,Norm,Miss_vals,Splits,Rnds,In_sel,AUC_mean,AUC_std,AUC_sem,AUC_med,AUC_lomean,AUC_upmean,AUC_lomed,AUC_upmed,ACC_mean,ACC_std,ACC_sem,ACC_med,ACC_lomean,ACC_upmean,ACC_lomed,ACC_upmed,BAL_ACC_mean,BAL_ACC_std,BAL_ACC_sem,BAL_ACC_med,BAL_ACC_lomean,BAL_ACC_upmean,BAL_ACC_lomed,BAL_ACC_upmed,REC_mean,REC_std,REC_sem,REC_med,REC_lomean,REC_upmean,REC_lomed,REC_upmed,PREC_mean,PREC_std,PREC_sem,PREC_med,PREC_lomean,PREC_upmean,PREC_lomed,PREC_upmed,F1_mean,F1_std,F1_sem,F1_med,F1_lomean,F1_upmean,F1_lomed,F1_upmed,AVG_PREC_mean,AVG_PREC_std,AVG_PREC_sem,AVG_PREC_med,AVG_PREC_lomean,AVG_PREC_upmean,AVG_PREC_lomed,AVG_PREC_upmed,SPEC_mean,SPEC_std,SPEC_sem,SPEC_med,SPEC_lomean,SPEC_upmean,SPEC_lomed,SPEC_upmed,MCC_mean,MCC_std,MCC_sem,MCC_med,MCC_lomean,MCC_upmean,MCC_lomed,MCC_upmed
LinearDiscriminantAnalysis,none,69,minmax,median,5,10,Validation_score,0.777,0.126,0.018,0.79,0.742,0.813,0.75,0.83,0.723,0.134,0.019,0.75,0.687,0.76,0.675,0.775,0.723,0.134,0.019,0.75,0.684,0.76,0.675,0.8,0.73,0.18,0.026,0.75,0.684,0.778,0.7,0.8,0.727,0.15,0.021,0.707,0.685,0.768,0.679,0.76,0.72,0.145,0.021,0.739,0.68,0.759,0.7,0.783,0.778,0.128,0.018,0.795,0.743,0.81,0.723,0.834,0.716,0.162,0.023,0.7,0.67,0.758,0.7,0.7,0.457,0.273,0.039,0.503,0.38,0.531,0.373,0.6
LinearDiscriminantAnalysis,mrmr,10,minmax,median,5,10,Validation_score,0.813,0.096,0.014,0.81,0.786,0.839,0.78,0.85,0.724,0.091,0.013,0.75,0.698,0.75,0.7,0.75,0.724,0.091,0.013,0.75,0.699,0.749,0.7,0.75,0.786,0.102,0.015,0.8,0.758,0.814,0.75,0.8,0.714,0.113,0.016,0.692,0.683,0.749,0.667,0.727,0.741,0.08,0.011,0.743,0.72,0.763,0.717,0.77,0.841,0.086,0.012,0.845,0.819,0.866,0.817,0.879,0.662,0.164,0.023,0.6,0.612,0.704,0.6,0.7,0.46,0.183,0.026,0.503,0.409,0.51,0.408,0.513
LogisticRegression,none,69,minmax,median,5,10,Validation_score,0.904,0.067,0.01,0.915,0.885,0.923,0.89,0.945,0.81,0.089,0.013,0.8,0.784,0.833,0.8,0.85,0.81,0.089,0.013,0.8,0.786,0.833,0.775,0.85,0.842,0.113,0.016,0.85,0.81,0.872,0.8,0.9,0.806,0.115,0.016,0.8,0.776,0.84,0.76,0.833,0.816,0.084,0.012,0.809,0.794,0.838,0.783,0.863,0.918,0.059,0.008,0.937,0.9,0.933,0.906,0.952,0.778,0.15,0.021,0.8,0.734,0.818,0.7,0.8,0.633,0.177,0.025,0.612,0.585,0.678,0.562,0.734
LogisticRegression,mrmr,10,minmax,median,5,10,Validation_score,0.75,0.103,0.015,0.77,0.721,0.776,0.72,0.8,0.681,0.094,0.013,0.7,0.653,0.707,0.65,0.7,0.681,0.094,0.013,0.7,0.654,0.705,0.65,0.7,0.73,0.13,0.019,0.7,0.694,0.766,0.7,0.8,0.675,0.102,0.015,0.667,0.647,0.705,0.636,0.727,0.695,0.088,0.013,0.696,0.67,0.718,0.667,0.737,0.764,0.095,0.014,0.775,0.738,0.792,0.743,0.795,0.632,0.155,0.022,0.6,0.59,0.676,0.6,0.7,0.374,0.195,0.028,0.404,0.324,0.423,0.308,0.436
RandomForestClassifier,none,69,minmax,median,5,10,Validation_score,0.881,0.059,0.008,0.898,0.865,0.896,0.87,0.91,0.784,0.08,0.011,0.8,0.761,0.806,0.75,0.8,0.784,0.08,0.011,0.8,0.761,0.807,0.75,0.8,0.756,0.104,0.015,0.8,0.726,0.784,0.7,0.8,0.813,0.106,0.015,0.8,0.782,0.842,0.778,0.875,0.777,0.083,0.012,0.778,0.753,0.798,0.756,0.8,0.896,0.054,0.008,0.901,0.881,0.911,0.88,0.926,0.812,0.124,0.018,0.8,0.78,0.848,0.8,0.9,0.577,0.16,0.023,0.6,0.532,0.621,0.503,0.612
RandomForestClassifier,mrmr,10,minmax,median,5,10,Validation_score,0.887,0.066,0.009,0.893,0.869,0.905,0.868,0.92,0.801,0.08,0.011,0.825,0.779,0.823,0.775,0.85,0.801,0.08,0.011,0.825,0.778,0.823,0.775,0.85,0.792,0.118,0.017,0.8,0.76,0.824,0.7,0.9,0.82,0.105,0.015,0.818,0.792,0.848,0.809,0.866,0.798,0.081,0.012,0.824,0.774,0.82,0.762,0.842,0.908,0.054,0.008,0.914,0.894,0.923,0.886,0.936,0.81,0.132,0.019,0.8,0.772,0.846,0.8,0.9,0.613,0.159,0.023,0.679,0.567,0.653,0.568,0.704
SVC,none,69,minmax,median,5,10,Validation_score,0.871,0.071,0.01,0.88,0.853,0.891,0.845,0.9,0.776,0.08,0.011,0.8,0.753,0.797,0.75,0.8,0.776,0.08,0.011,0.8,0.753,0.798,0.75,0.8,0.768,0.143,0.02,0.8,0.73,0.806,0.75,0.8,0.794,0.104,0.015,0.8,0.766,0.824,0.75,0.818,0.77,0.091,0.013,0.778,0.745,0.793,0.75,0.8,0.89,0.065,0.009,0.902,0.872,0.907,0.874,0.923,0.784,0.125,0.018,0.8,0.75,0.816,0.75,0.8,0.566,0.159,0.023,0.6,0.522,0.604,0.503,0.612
SVC,mrmr,10,minmax,median,5,10,Validation_score,0.837,0.089,0.013,0.85,0.812,0.86,0.83,0.87,0.739,0.107,0.015,0.75,0.71,0.767,0.7,0.8,0.739,0.107,0.015,0.75,0.709,0.77,0.7,0.8,0.792,0.134,0.019,0.8,0.752,0.83,0.7,0.9,0.737,0.126,0.018,0.721,0.701,0.771,0.7,0.76,0.752,0.096,0.014,0.77,0.727,0.777,0.703,0.791,0.853,0.082,0.012,0.858,0.83,0.876,0.83,0.892,0.686,0.195,0.028,0.7,0.632,0.742,0.6,0.8,0.494,0.218,0.031,0.524,0.435,0.553,0.436,0.6
XGBClassifier,none,69,minmax,median,5,10,Validation_score,0.911,0.061,0.009,0.93,0.892,0.927,0.905,0.935,0.832,0.078,0.011,0.85,0.81,0.853,0.8,0.85,0.832,0.078,0.011,0.85,0.81,0.853,0.8,0.875,0.82,0.108,0.015,0.8,0.79,0.848,0.8,0.9,0.85,0.1,0.014,0.875,0.824,0.877,0.809,0.9,0.829,0.081,0.012,0.842,0.807,0.851,0.817,0.879,0.933,0.043,0.006,0.943,0.921,0.945,0.931,0.948,0.844,0.115,0.016,0.9,0.812,0.874,0.8,0.9,0.672,0.155,0.022,0.704,0.628,0.714,0.612,0.767
XGBClassifier,mrmr,10,minmax,median,5,10,Validation_score,0.879,0.072,0.01,0.875,0.86,0.9,0.855,0.91,0.795,0.086,0.012,0.8,0.771,0.818,0.75,0.85,0.795,0.086,0.012,0.8,0.77,0.82,0.75,0.85,0.792,0.128,0.018,0.8,0.758,0.826,0.7,0.9,0.806,0.102,0.015,0.778,0.778,0.834,0.76,0.818,0.792,0.091,0.013,0.818,0.766,0.816,0.762,0.842,0.903,0.063,0.009,0.91,0.887,0.922,0.881,0.937,0.798,0.124,0.018,0.8,0.762,0.832,0.8,0.8,0.6,0.172,0.025,0.612,0.55,0.646,0.55,0.704
