Est,Sel_way,Fs_inner,Fs_num,Norm,Miss_vals,In_cv,Out_cv,Rnds,Trials,Class_blnc,In_scor,In_sel,MCC_mean,MCC_std,MCC_sem,MCC_med,MCC_lomean,MCC_upmean,MCC_lomed,MCC_upmed,REC_mean,REC_std,REC_sem,REC_med,REC_lomean,REC_upmean,REC_lomed,REC_upmed,SPEC_mean,SPEC_std,SPEC_sem,SPEC_med,SPEC_lomean,SPEC_upmean,SPEC_lomed,SPEC_upmed,ACC_mean,ACC_std,ACC_sem,ACC_med,ACC_lomean,ACC_upmean,ACC_lomed,ACC_upmed,BAL_ACC_mean,BAL_ACC_std,BAL_ACC_sem,BAL_ACC_med,BAL_ACC_lomean,BAL_ACC_upmean,BAL_ACC_lomed,BAL_ACC_upmed,PREC_mean,PREC_std,PREC_sem,PREC_med,PREC_lomean,PREC_upmean,PREC_lomed,PREC_upmed,F1_mean,F1_std,F1_sem,F1_med,F1_lomean,F1_upmean,F1_lomed,F1_upmed,AUC_mean,AUC_std,AUC_sem,AUC_med,AUC_lomean,AUC_upmean,AUC_lomed,AUC_upmed,AVG_PREC_mean,AVG_PREC_std,AVG_PREC_sem,AVG_PREC_med,AVG_PREC_lomean,AVG_PREC_upmean,AVG_PREC_lomed,AVG_PREC_upmed
SVC,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.342,0.29,0.041,0.358,0.26,0.42,0.313,0.457,0.804,0.143,0.02,0.8,0.765,0.844,0.778,0.889,0.512,0.219,0.031,0.5,0.45,0.574,0.429,0.571,0.691,0.123,0.018,0.688,0.658,0.724,0.688,0.75,0.658,0.134,0.019,0.671,0.62,0.693,0.65,0.7,0.73,0.103,0.015,0.727,0.704,0.757,0.692,0.769,0.758,0.099,0.014,0.762,0.73,0.783,0.737,0.789,0.745,0.15,0.021,0.775,0.706,0.784,0.708,0.805,0.85,0.088,0.013,0.864,0.824,0.874,0.831,0.881
XGBClassifier,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,validation_score,0.256,0.223,0.032,0.21,0.196,0.317,0.2,0.323,0.743,0.148,0.021,0.778,0.703,0.784,0.7,0.8,0.497,0.18,0.026,0.5,0.449,0.548,0.429,0.5,0.646,0.105,0.015,0.625,0.619,0.675,0.625,0.688,0.62,0.106,0.015,0.6,0.589,0.649,0.585,0.65,0.702,0.093,0.013,0.7,0.679,0.729,0.667,0.714,0.714,0.101,0.014,0.7,0.687,0.742,0.698,0.745,0.706,0.129,0.018,0.708,0.67,0.742,0.65,0.75,0.809,0.102,0.015,0.829,0.78,0.836,0.783,0.849
CatBoostClassifier,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,one_sem,0.292,0.229,0.033,0.289,0.228,0.357,0.2,0.361,0.814,0.146,0.021,0.8,0.773,0.854,0.789,0.9,0.442,0.176,0.025,0.464,0.396,0.49,0.333,0.5,0.67,0.1,0.014,0.688,0.64,0.699,0.625,0.688,0.628,0.102,0.015,0.617,0.603,0.655,0.6,0.65,0.7,0.074,0.011,0.692,0.681,0.722,0.667,0.7,0.747,0.09,0.013,0.756,0.721,0.773,0.717,0.772,0.716,0.113,0.016,0.692,0.683,0.745,0.651,0.733,0.818,0.086,0.012,0.809,0.794,0.841,0.789,0.837
ElasticNet,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,one_sem,0.316,0.253,0.036,0.333,0.244,0.381,0.289,0.447,0.884,0.119,0.017,0.9,0.848,0.916,0.889,1.0,0.373,0.202,0.029,0.333,0.318,0.432,0.333,0.5,0.686,0.096,0.014,0.688,0.658,0.712,0.625,0.719,0.629,0.107,0.015,0.638,0.599,0.659,0.583,0.667,0.696,0.072,0.01,0.696,0.674,0.715,0.667,0.714,0.774,0.073,0.01,0.78,0.754,0.793,0.75,0.8,0.739,0.142,0.02,0.733,0.698,0.775,0.698,0.817,0.844,0.083,0.012,0.835,0.82,0.867,0.809,0.886
GaussianNB,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,one_sem,0.291,0.25,0.036,0.313,0.228,0.359,0.27,0.358,0.76,0.184,0.026,0.8,0.709,0.807,0.7,0.894,0.505,0.233,0.033,0.5,0.441,0.568,0.5,0.667,0.662,0.112,0.016,0.688,0.63,0.694,0.625,0.688,0.632,0.115,0.016,0.639,0.601,0.663,0.616,0.679,0.718,0.102,0.015,0.714,0.688,0.746,0.692,0.75,0.725,0.111,0.016,0.737,0.693,0.756,0.698,0.783,0.733,0.136,0.019,0.758,0.695,0.77,0.683,0.788,0.824,0.099,0.014,0.834,0.799,0.851,0.789,0.871
GaussianProcessClassifier,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,one_sem,0.319,0.244,0.035,0.333,0.247,0.381,0.256,0.447,0.88,0.118,0.017,0.9,0.848,0.911,0.8,1.0,0.381,0.196,0.028,0.333,0.327,0.434,0.333,0.5,0.686,0.092,0.013,0.688,0.66,0.711,0.625,0.75,0.631,0.102,0.015,0.63,0.601,0.659,0.585,0.667,0.698,0.072,0.01,0.7,0.678,0.717,0.667,0.721,0.773,0.069,0.01,0.78,0.754,0.793,0.743,0.8,0.732,0.146,0.021,0.723,0.689,0.773,0.683,0.783,0.838,0.09,0.013,0.833,0.814,0.862,0.811,0.875
GradientBoostingClassifier,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,one_sem,0.259,0.196,0.028,0.258,0.204,0.31,0.2,0.313,0.733,0.129,0.018,0.7,0.697,0.769,0.7,0.8,0.517,0.173,0.025,0.5,0.47,0.565,0.5,0.571,0.649,0.087,0.012,0.625,0.624,0.672,0.625,0.688,0.625,0.092,0.013,0.633,0.599,0.652,0.6,0.65,0.71,0.077,0.011,0.707,0.689,0.731,0.667,0.739,0.715,0.081,0.012,0.71,0.694,0.738,0.667,0.737,0.695,0.115,0.016,0.7,0.662,0.725,0.666,0.717,0.801,0.087,0.012,0.817,0.776,0.825,0.78,0.838
KNeighborsClassifier,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,one_sem,0.215,0.257,0.037,0.258,0.142,0.287,0.156,0.313,0.728,0.162,0.023,0.7,0.681,0.771,0.7,0.8,0.47,0.215,0.031,0.5,0.413,0.53,0.333,0.5,0.629,0.114,0.016,0.625,0.597,0.661,0.594,0.688,0.599,0.12,0.017,0.602,0.564,0.633,0.571,0.642,0.691,0.099,0.014,0.692,0.664,0.718,0.667,0.721,0.7,0.105,0.015,0.706,0.671,0.73,0.667,0.749,0.687,0.139,0.02,0.683,0.651,0.725,0.627,0.733,0.792,0.095,0.014,0.783,0.766,0.819,0.764,0.838
LGBMClassifier,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,one_sem,0.284,0.241,0.034,0.258,0.22,0.35,0.2,0.358,0.757,0.159,0.023,0.739,0.713,0.801,0.7,0.8,0.506,0.182,0.026,0.5,0.457,0.553,0.5,0.571,0.659,0.113,0.016,0.625,0.628,0.689,0.625,0.688,0.632,0.112,0.016,0.618,0.601,0.662,0.6,0.667,0.709,0.095,0.014,0.7,0.683,0.736,0.692,0.732,0.725,0.108,0.015,0.717,0.693,0.751,0.698,0.762,0.711,0.133,0.019,0.7,0.675,0.748,0.65,0.75,0.817,0.102,0.015,0.833,0.787,0.844,0.803,0.854
LinearDiscriminantAnalysis,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,one_sem,0.347,0.28,0.04,0.346,0.268,0.42,0.258,0.467,0.765,0.154,0.022,0.8,0.722,0.81,0.7,0.8,0.567,0.201,0.029,0.571,0.507,0.624,0.5,0.667,0.689,0.126,0.018,0.688,0.656,0.723,0.625,0.75,0.666,0.13,0.019,0.667,0.63,0.702,0.626,0.73,0.741,0.1,0.014,0.727,0.711,0.768,0.714,0.778,0.746,0.11,0.016,0.762,0.713,0.778,0.7,0.8,0.763,0.138,0.02,0.767,0.724,0.799,0.75,0.833,0.86,0.082,0.012,0.872,0.838,0.883,0.832,0.906
