,Scores,mean_test_score,std_test_score,sem_test_score,params,round,train_mthd,estimator,roc_auc,accuracy,balanced_accuracy,recall,precision,f1,matthews_corrcoef
10,"[0.5493502655735357, 0.408491223118783, 0.7833494518006403, 0.7745966692414834, 0.674199862463242]",0.6379974944395369,0.14256829751173802,0.06375848093453207,"{'penalty': 'l2', 'C': 0.20477618828619576, 'solver': 'liblinear', 'max_iter': 958, 'n_jobs': None}",round_cv,validation_score,LogisticRegression,"[0.7708333333333335, 0.7013888888888888, 0.875, 0.875, 0.8125]","[0.7647058823529411, 0.7058823529411765, 0.8823529411764706, 0.875, 0.8125]","[0.7708333333333333, 0.7013888888888888, 0.875, 0.875, 0.8125]","[0.875, 0.625, 0.75, 0.75, 0.625]","[0.7, 0.7142857142857143, 1.0, 1.0, 1.0]","[0.7777777777777778, 0.6666666666666666, 0.8571428571428571, 0.8571428571428571, 0.7692307692307693]","[0.5493502655735357, 0.408491223118783, 0.7833494518006403, 0.7745966692414834, 0.674199862463242]"
11,"[0.7833494518006403, 0.6085806194501846, 0.6479515952918626, 0.7745966692414834, 0.75]",0.7128956671568342,0.07105890879131947,0.03177851009286955,"{'penalty': 'l2', 'C': 0.20477618828619576, 'solver': 'liblinear', 'max_iter': 958, 'n_jobs': None}",round_cv,validation_score,LogisticRegression,"[0.875, 0.7777777777777778, 0.8194444444444443, 0.875, 0.875]","[0.8823529411764706, 0.7647058823529411, 0.8235294117647058, 0.875, 0.875]","[0.875, 0.7777777777777778, 0.8194444444444444, 0.875, 0.875]","[0.75, 1.0, 0.75, 0.75, 0.875]","[1.0, 0.6666666666666666, 0.8571428571428571, 1.0, 0.875]","[0.8571428571428571, 0.8, 0.8, 0.8571428571428571, 0.875]","[0.7833494518006403, 0.6085806194501846, 0.6479515952918626, 0.7745966692414834, 0.75]"
12,"[0.7638888888888888, 0.42600643361512924, 0.8874119674649423, 0.7745966692414834, 0.8819171036881969]",0.746764212579728,0.1685239139576656,0.07536618548873318,"{'penalty': 'l2', 'C': 0.20477618828619576, 'solver': 'liblinear', 'max_iter': 958, 'n_jobs': None}",round_cv,validation_score,LogisticRegression,"[0.8819444444444444, 0.6944444444444444, 0.9375, 0.875, 0.9375]","[0.8823529411764706, 0.7058823529411765, 0.9411764705882353, 0.875, 0.9375]","[0.8819444444444444, 0.6944444444444444, 0.9375, 0.875, 0.9375]","[0.875, 0.5, 0.875, 1.0, 0.875]","[0.875, 0.8, 1.0, 0.8, 1.0]","[0.875, 0.6153846153846154, 0.9333333333333333, 0.8888888888888888, 0.9333333333333333]","[0.7638888888888888, 0.42600643361512924, 0.8874119674649423, 0.7745966692414834, 0.8819171036881969]"
13,"[0.6527777777777778, 0.6846531968814576, 0.7638888888888888, 0.8819171036881969, 0.5163977794943222]",0.6999269493461286,0.12112046405785322,0.05416671821993596,"{'penalty': 'l2', 'C': 0.20477618828619576, 'solver': 'liblinear', 'max_iter': 958, 'n_jobs': None}",round_cv,validation_score,LogisticRegression,"[0.8263888888888888, 0.8125, 0.8819444444444444, 0.9375, 0.75]","[0.8235294117647058, 0.8235294117647058, 0.8823529411764706, 0.9375, 0.75]","[0.8263888888888888, 0.8125, 0.8819444444444444, 0.9375, 0.75]","[0.875, 0.625, 0.875, 0.875, 0.625]","[0.7777777777777778, 1.0, 0.875, 1.0, 0.8333333333333334]","[0.8235294117647058, 0.7692307692307693, 0.875, 0.9333333333333333, 0.7142857142857143]","[0.6527777777777778, 0.6846531968814576, 0.7638888888888888, 0.8819171036881969, 0.5163977794943222]"
14,"[0.5493502655735357, 0.7833494518006403, 0.5277777777777778, 0.629940788348712, 0.7745966692414834]",0.6530029905484298,0.10838111379531061,0.04846950758469095,"{'penalty': 'l2', 'C': 0.20477618828619576, 'solver': 'liblinear', 'max_iter': 958, 'n_jobs': None}",round_cv,validation_score,LogisticRegression,"[0.7708333333333335, 0.875, 0.763888888888889, 0.8125, 0.875]","[0.7647058823529411, 0.8823529411764706, 0.7647058823529411, 0.8125, 0.875]","[0.7708333333333333, 0.875, 0.7638888888888888, 0.8125, 0.875]","[0.875, 0.75, 0.75, 0.75, 0.75]","[0.7, 1.0, 0.75, 0.8571428571428571, 1.0]","[0.7777777777777778, 0.8571428571428571, 0.75, 0.8, 0.8571428571428571]","[0.5493502655735357, 0.7833494518006403, 0.5277777777777778, 0.629940788348712, 0.7745966692414834]"
15,"[0.8874119674649423, 0.7888106377466154, 0.7638888888888888, 0.40451991747794525, 0.5163977794943222]",0.6722058382145428,0.1812446095444347,0.08105505349935263,"{'penalty': 'l2', 'C': 0.20477618828619576, 'solver': 'liblinear', 'max_iter': 958, 'n_jobs': None}",round_cv,validation_score,LogisticRegression,"[0.9375, 0.8888888888888888, 0.8819444444444444, 0.6875, 0.75]","[0.9411764705882353, 0.8823529411764706, 0.8823529411764706, 0.6875, 0.75]","[0.9375, 0.8888888888888888, 0.8819444444444444, 0.6875, 0.75]","[0.875, 1.0, 0.875, 0.5, 0.625]","[1.0, 0.8, 0.875, 0.8, 0.8333333333333334]","[0.9333333333333333, 0.8888888888888888, 0.875, 0.6153846153846154, 0.7142857142857143]","[0.8874119674649423, 0.7888106377466154, 0.7638888888888888, 0.40451991747794525, 0.5163977794943222]"
16,"[0.7833494518006403, 0.6527777777777778, 0.8874119674649423, 0.5773502691896258, 0.75]",0.7301778932465972,0.10704180977542835,0.04787055261849185,"{'penalty': 'l2', 'C': 0.20477618828619576, 'solver': 'liblinear', 'max_iter': 958, 'n_jobs': None}",round_cv,validation_score,LogisticRegression,"[0.875, 0.8263888888888888, 0.9375, 0.75, 0.875]","[0.8823529411764706, 0.8235294117647058, 0.9411764705882353, 0.75, 0.875]","[0.875, 0.8263888888888888, 0.9375, 0.75, 0.875]","[0.75, 0.875, 0.875, 0.5, 0.875]","[1.0, 0.7777777777777778, 1.0, 1.0, 0.875]","[0.8571428571428571, 0.8235294117647058, 0.9333333333333333, 0.6666666666666666, 0.875]","[0.7833494518006403, 0.6527777777777778, 0.8874119674649423, 0.5773502691896258, 0.75]"
17,"[0.6527777777777778, 0.6527777777777778, 0.5367394391967351, 0.629940788348712, 0.8819171036881969]",0.6708305773578399,0.11389621321371819,0.05093593502513673,"{'penalty': 'l2', 'C': 0.20477618828619576, 'solver': 'liblinear', 'max_iter': 958, 'n_jobs': None}",round_cv,validation_score,LogisticRegression,"[0.8263888888888888, 0.8263888888888888, 0.7569444444444444, 0.8125, 0.9375]","[0.8235294117647058, 0.8235294117647058, 0.7647058823529411, 0.8125, 0.9375]","[0.8263888888888888, 0.8263888888888888, 0.7569444444444444, 0.8125, 0.9375]","[0.875, 0.875, 0.625, 0.75, 0.875]","[0.7777777777777778, 0.7777777777777778, 0.8333333333333334, 0.8571428571428571, 1.0]","[0.8235294117647058, 0.8235294117647058, 0.7142857142857143, 0.8, 0.9333333333333333]","[0.6527777777777778, 0.6527777777777778, 0.5367394391967351, 0.629940788348712, 0.8819171036881969]"
18,"[0.7638888888888888, 0.8888888888888888, 0.6527777777777778, 0.5, 0.5773502691896258]",0.6765811649490362,0.13732551695360679,0.061413838190712916,"{'penalty': 'l2', 'C': 0.20477618828619576, 'solver': 'liblinear', 'max_iter': 958, 'n_jobs': None}",round_cv,validation_score,LogisticRegression,"[0.8819444444444444, 0.9444444444444444, 0.8263888888888888, 0.75, 0.75]","[0.8823529411764706, 0.9411764705882353, 0.8235294117647058, 0.75, 0.75]","[0.8819444444444444, 0.9444444444444444, 0.8263888888888888, 0.75, 0.75]","[0.875, 1.0, 0.875, 0.75, 0.5]","[0.875, 0.8888888888888888, 0.7777777777777778, 0.75, 1.0]","[0.875, 0.9411764705882353, 0.8235294117647058, 0.75, 0.6666666666666666]","[0.7638888888888888, 0.8888888888888888, 0.6527777777777778, 0.5, 0.5773502691896258]"
19,"[0.2916666666666667, 0.8874119674649423, 0.6846531968814576, 0.7745966692414834, 0.629940788348712]",0.6536538577206524,0.20091192732358454,0.08985054539720648,"{'penalty': 'l2', 'C': 0.20477618828619576, 'solver': 'liblinear', 'max_iter': 958, 'n_jobs': None}",round_cv,validation_score,LogisticRegression,"[0.6458333333333334, 0.9375, 0.8125, 0.875, 0.8125]","[0.6470588235294118, 0.9411764705882353, 0.8235294117647058, 0.875, 0.8125]","[0.6458333333333333, 0.9375, 0.8125, 0.875, 0.8125]","[0.625, 0.875, 0.625, 0.75, 0.875]","[0.625, 1.0, 1.0, 1.0, 0.7777777777777778]","[0.625, 0.9333333333333333, 0.7692307692307693, 0.8571428571428571, 0.8235294117647058]","[0.2916666666666667, 0.8874119674649423, 0.6846531968814576, 0.7745966692414834, 0.629940788348712]"
