,Scores,mean_test_score,std_test_score,sem_test_score,params,round,train_mthd,estimator,roc_auc,accuracy,balanced_accuracy,recall,precision,f1,matthews_corrcoef
10,"[1.0, 0.8819171036881969, 1.0, 0.875, 1.0]",0.9513834207376395,0.05958307059143072,0.026646359230121534,"{'penalty': 'l1', 'C': 0.6515487645314842, 'solver': 'saga', 'max_iter': 844, 'n_jobs': None}",round_cv,validation_score,LogisticRegression,"[1.0, 0.9375, 1.0, 0.9375, 1.0]","[1.0, 0.9375, 1.0, 0.9333333333333333, 1.0]","[1.0, 0.9375, 1.0, 0.9375, 1.0]","[1.0, 0.875, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 0.875, 1.0]","[1.0, 0.9333333333333333, 1.0, 0.9333333333333333, 1.0]","[1.0, 0.8819171036881969, 1.0, 0.875, 1.0]"
11,"[0.8819171036881969, 0.5, 0.8819171036881969, 0.875, 1.0]",0.8277668414752787,0.170405889760747,0.07620783065427313,"{'penalty': 'l1', 'C': 0.6515487645314842, 'solver': 'saga', 'max_iter': 844, 'n_jobs': None}",round_cv,validation_score,LogisticRegression,"[0.9375, 0.75, 0.9375, 0.9375, 1.0]","[0.9375, 0.75, 0.9375, 0.9333333333333333, 1.0]","[0.9375, 0.75, 0.9375, 0.9375, 1.0]","[0.875, 0.75, 1.0, 1.0, 1.0]","[1.0, 0.75, 0.8888888888888888, 0.875, 1.0]","[0.9333333333333333, 0.75, 0.9411764705882353, 0.9333333333333333, 1.0]","[0.8819171036881969, 0.5, 0.8819171036881969, 0.875, 1.0]"
12,"[0.8819171036881969, 0.75, 0.7745966692414834, 0.875, 0.7321428571428571]",0.8027313260145075,0.06332145326512408,0.02831821478697869,"{'penalty': 'l1', 'C': 0.6515487645314842, 'solver': 'saga', 'max_iter': 844, 'n_jobs': None}",round_cv,validation_score,LogisticRegression,"[0.9375, 0.875, 0.875, 0.9375, 0.8660714285714286]","[0.9375, 0.875, 0.875, 0.9333333333333333, 0.8666666666666667]","[0.9375, 0.875, 0.875, 0.9375, 0.8660714285714286]","[1.0, 0.875, 1.0, 1.0, 0.875]","[0.8888888888888888, 0.875, 0.8, 0.875, 0.875]","[0.9411764705882353, 0.875, 0.8888888888888888, 0.9333333333333333, 0.875]","[0.8819171036881969, 0.75, 0.7745966692414834, 0.875, 0.7321428571428571]"
13,"[1.0, 1.0, 0.8819171036881969, 0.875, 0.875]",0.9263834207376395,0.06016072920091133,0.026904696013838866,"{'penalty': 'l1', 'C': 0.6515487645314842, 'solver': 'saga', 'max_iter': 844, 'n_jobs': None}",round_cv,validation_score,LogisticRegression,"[1.0, 1.0, 0.9375, 0.9375, 0.9375]","[1.0, 1.0, 0.9375, 0.9333333333333333, 0.9333333333333333]","[1.0, 1.0, 0.9375, 0.9375, 0.9375]","[1.0, 1.0, 1.0, 1.0, 0.875]","[1.0, 1.0, 0.8888888888888888, 0.875, 1.0]","[1.0, 1.0, 0.9411764705882353, 0.9333333333333333, 0.9333333333333333]","[1.0, 1.0, 0.8819171036881969, 0.875, 0.875]"
14,"[1.0, 0.75, 1.0, 0.8728715609439694, 1.0]",0.9245743121887939,0.10021623432144638,0.04481806247836032,"{'penalty': 'l1', 'C': 0.6515487645314842, 'solver': 'saga', 'max_iter': 844, 'n_jobs': None}",round_cv,validation_score,LogisticRegression,"[1.0, 0.875, 1.0, 0.9285714285714286, 1.0]","[1.0, 0.875, 1.0, 0.9333333333333333, 1.0]","[1.0, 0.875, 1.0, 0.9285714285714286, 1.0]","[1.0, 0.875, 1.0, 0.8571428571428571, 1.0]","[1.0, 0.875, 1.0, 1.0, 1.0]","[1.0, 0.875, 1.0, 0.9230769230769231, 1.0]","[1.0, 0.75, 1.0, 0.8728715609439694, 1.0]"
15,"[0.7745966692414834, 0.7745966692414834, 1.0, 1.0, 0.875]",0.8848386676965934,0.1009233974305148,0.04513431543497174,"{'penalty': 'l1', 'C': 0.6515487645314842, 'solver': 'saga', 'max_iter': 844, 'n_jobs': None}",round_cv,validation_score,LogisticRegression,"[0.875, 0.875, 1.0, 1.0, 0.9375]","[0.875, 0.875, 1.0, 1.0, 0.9333333333333333]","[0.875, 0.875, 1.0, 1.0, 0.9375]","[1.0, 1.0, 1.0, 1.0, 0.875]","[0.8, 0.8, 1.0, 1.0, 1.0]","[0.8888888888888888, 0.8888888888888888, 1.0, 1.0, 0.9333333333333333]","[0.7745966692414834, 0.7745966692414834, 1.0, 1.0, 0.875]"
16,"[0.8819171036881969, 0.8819171036881969, 0.8819171036881969, 1.0, 0.8728715609439694]",0.903724574401712,0.04826502532956466,0.021584775514531154,"{'penalty': 'l1', 'C': 0.6515487645314842, 'solver': 'saga', 'max_iter': 844, 'n_jobs': None}",round_cv,validation_score,LogisticRegression,"[0.9375, 0.9375, 0.9375, 1.0, 0.9285714285714286]","[0.9375, 0.9375, 0.9375, 1.0, 0.9333333333333333]","[0.9375, 0.9375, 0.9375, 1.0, 0.9285714285714286]","[1.0, 1.0, 0.875, 1.0, 1.0]","[0.8888888888888888, 0.8888888888888888, 1.0, 1.0, 0.8888888888888888]","[0.9411764705882353, 0.9411764705882353, 0.9333333333333333, 1.0, 0.9411764705882353]","[0.8819171036881969, 0.8819171036881969, 0.8819171036881969, 1.0, 0.8728715609439694]"
17,"[1.0, 0.5163977794943222, 0.7745966692414834, 0.875, 0.7637626158259733]",0.7859514129123557,0.15939064132210404,0.07128166179470231,"{'penalty': 'l1', 'C': 0.6515487645314842, 'solver': 'saga', 'max_iter': 844, 'n_jobs': None}",round_cv,validation_score,LogisticRegression,"[1.0, 0.75, 0.875, 0.9375, 0.875]","[1.0, 0.75, 0.875, 0.9333333333333333, 0.8666666666666667]","[1.0, 0.75, 0.875, 0.9375, 0.875]","[1.0, 0.625, 1.0, 1.0, 0.75]","[1.0, 0.8333333333333334, 0.8, 0.875, 1.0]","[1.0, 0.7142857142857143, 0.8888888888888888, 0.9333333333333333, 0.8571428571428571]","[1.0, 0.5163977794943222, 0.7745966692414834, 0.875, 0.7637626158259733]"
18,"[0.8819171036881969, 0.8819171036881969, 1.0, 0.49099025303098287, 1.0]",0.8509648920814753,0.18757438329942575,0.08388581437902344,"{'penalty': 'l1', 'C': 0.6515487645314842, 'solver': 'saga', 'max_iter': 844, 'n_jobs': None}",round_cv,validation_score,LogisticRegression,"[0.9375, 0.9375, 1.0, 0.7410714285714286, 1.0]","[0.9375, 0.9375, 1.0, 0.7333333333333333, 1.0]","[0.9375, 0.9375, 1.0, 0.7410714285714286, 1.0]","[1.0, 1.0, 1.0, 0.8571428571428571, 1.0]","[0.8888888888888888, 0.8888888888888888, 1.0, 0.6666666666666666, 1.0]","[0.9411764705882353, 0.9411764705882353, 1.0, 0.75, 1.0]","[0.8819171036881969, 0.8819171036881969, 1.0, 0.49099025303098287, 1.0]"
19,"[0.8819171036881969, 0.7745966692414834, 1.0, 0.875, 1.0]",0.9063027545859359,0.08541588017166439,0.038199142884363595,"{'penalty': 'l1', 'C': 0.6515487645314842, 'solver': 'saga', 'max_iter': 844, 'n_jobs': None}",round_cv,validation_score,LogisticRegression,"[0.9375, 0.875, 1.0, 0.9375, 1.0]","[0.9375, 0.875, 1.0, 0.9333333333333333, 1.0]","[0.9375, 0.875, 1.0, 0.9375, 1.0]","[1.0, 0.75, 1.0, 1.0, 1.0]","[0.8888888888888888, 1.0, 1.0, 0.875, 1.0]","[0.9411764705882353, 0.8571428571428571, 1.0, 0.9333333333333333, 1.0]","[0.8819171036881969, 0.7745966692414834, 1.0, 0.875, 1.0]"
20,"[1.0, 0.8819171036881969, 1.0, 0.875, 1.0]",0.9513834207376395,0.05958307059143072,0.026646359230121534,"{'penalty': 'l1', 'C': 0.7069055558343114, 'solver': 'saga', 'max_iter': 1283, 'n_jobs': None}",round_cv,gso_1,LogisticRegression,"[1.0, 0.9375, 1.0, 0.9375, 1.0]","[1.0, 0.9375, 1.0, 0.9333333333333333, 1.0]","[1.0, 0.9375, 1.0, 0.9375, 1.0]","[1.0, 0.875, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 0.875, 1.0]","[1.0, 0.9333333333333333, 1.0, 0.9333333333333333, 1.0]","[1.0, 0.8819171036881969, 1.0, 0.875, 1.0]"
21,"[0.8819171036881969, 0.5, 0.8819171036881969, 0.875, 1.0]",0.8277668414752787,0.170405889760747,0.07620783065427313,"{'penalty': 'l1', 'C': 0.7069055558343114, 'solver': 'saga', 'max_iter': 1283, 'n_jobs': None}",round_cv,gso_1,LogisticRegression,"[0.9375, 0.75, 0.9375, 0.9375, 1.0]","[0.9375, 0.75, 0.9375, 0.9333333333333333, 1.0]","[0.9375, 0.75, 0.9375, 0.9375, 1.0]","[0.875, 0.75, 1.0, 1.0, 1.0]","[1.0, 0.75, 0.8888888888888888, 0.875, 1.0]","[0.9333333333333333, 0.75, 0.9411764705882353, 0.9333333333333333, 1.0]","[0.8819171036881969, 0.5, 0.8819171036881969, 0.875, 1.0]"
22,"[0.8819171036881969, 0.629940788348712, 0.7745966692414834, 0.875, 0.7321428571428571]",0.7787194836842499,0.09406504826040024,0.04206716844341065,"{'penalty': 'l1', 'C': 0.7069055558343114, 'solver': 'saga', 'max_iter': 1283, 'n_jobs': None}",round_cv,gso_1,LogisticRegression,"[0.9375, 0.8125, 0.875, 0.9375, 0.8660714285714286]","[0.9375, 0.8125, 0.875, 0.9333333333333333, 0.8666666666666667]","[0.9375, 0.8125, 0.875, 0.9375, 0.8660714285714286]","[1.0, 0.75, 1.0, 1.0, 0.875]","[0.8888888888888888, 0.8571428571428571, 0.8, 0.875, 0.875]","[0.9411764705882353, 0.8, 0.8888888888888888, 0.9333333333333333, 0.875]","[0.8819171036881969, 0.629940788348712, 0.7745966692414834, 0.875, 0.7321428571428571]"
23,"[1.0, 1.0, 0.8819171036881969, 0.875, 0.875]",0.9263834207376395,0.06016072920091133,0.026904696013838866,"{'penalty': 'l1', 'C': 0.7069055558343114, 'solver': 'saga', 'max_iter': 1283, 'n_jobs': None}",round_cv,gso_1,LogisticRegression,"[1.0, 1.0, 0.9375, 0.9375, 0.9375]","[1.0, 1.0, 0.9375, 0.9333333333333333, 0.9333333333333333]","[1.0, 1.0, 0.9375, 0.9375, 0.9375]","[1.0, 1.0, 1.0, 1.0, 0.875]","[1.0, 1.0, 0.8888888888888888, 0.875, 1.0]","[1.0, 1.0, 0.9411764705882353, 0.9333333333333333, 0.9333333333333333]","[1.0, 1.0, 0.8819171036881969, 0.875, 0.875]"
24,"[1.0, 0.75, 1.0, 0.8728715609439694, 1.0]",0.9245743121887939,0.10021623432144638,0.04481806247836032,"{'penalty': 'l1', 'C': 0.7069055558343114, 'solver': 'saga', 'max_iter': 1283, 'n_jobs': None}",round_cv,gso_1,LogisticRegression,"[1.0, 0.875, 1.0, 0.9285714285714286, 1.0]","[1.0, 0.875, 1.0, 0.9333333333333333, 1.0]","[1.0, 0.875, 1.0, 0.9285714285714286, 1.0]","[1.0, 0.875, 1.0, 0.8571428571428571, 1.0]","[1.0, 0.875, 1.0, 1.0, 1.0]","[1.0, 0.875, 1.0, 0.9230769230769231, 1.0]","[1.0, 0.75, 1.0, 0.8728715609439694, 1.0]"
25,"[0.7745966692414834, 0.8819171036881969, 1.0, 1.0, 1.0]",0.9313027545859359,0.09072339751245721,0.04057273679751793,"{'penalty': 'l1', 'C': 0.7069055558343114, 'solver': 'saga', 'max_iter': 1283, 'n_jobs': None}",round_cv,gso_1,LogisticRegression,"[0.875, 0.9375, 1.0, 1.0, 1.0]","[0.875, 0.9375, 1.0, 1.0, 1.0]","[0.875, 0.9375, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.8, 0.8888888888888888, 1.0, 1.0, 1.0]","[0.8888888888888888, 0.9411764705882353, 1.0, 1.0, 1.0]","[0.7745966692414834, 0.8819171036881969, 1.0, 1.0, 1.0]"
26,"[0.8819171036881969, 0.8819171036881969, 0.8819171036881969, 1.0, 0.8728715609439694]",0.903724574401712,0.04826502532956466,0.021584775514531154,"{'penalty': 'l1', 'C': 0.7069055558343114, 'solver': 'saga', 'max_iter': 1283, 'n_jobs': None}",round_cv,gso_1,LogisticRegression,"[0.9375, 0.9375, 0.9375, 1.0, 0.9285714285714286]","[0.9375, 0.9375, 0.9375, 1.0, 0.9333333333333333]","[0.9375, 0.9375, 0.9375, 1.0, 0.9285714285714286]","[1.0, 1.0, 0.875, 1.0, 1.0]","[0.8888888888888888, 0.8888888888888888, 1.0, 1.0, 0.8888888888888888]","[0.9411764705882353, 0.9411764705882353, 0.9333333333333333, 1.0, 0.9411764705882353]","[0.8819171036881969, 0.8819171036881969, 0.8819171036881969, 1.0, 0.8728715609439694]"
27,"[1.0, 0.5163977794943222, 0.7745966692414834, 0.875, 0.7637626158259733]",0.7859514129123557,0.15939064132210404,0.07128166179470231,"{'penalty': 'l1', 'C': 0.7069055558343114, 'solver': 'saga', 'max_iter': 1283, 'n_jobs': None}",round_cv,gso_1,LogisticRegression,"[1.0, 0.75, 0.875, 0.9375, 0.875]","[1.0, 0.75, 0.875, 0.9333333333333333, 0.8666666666666667]","[1.0, 0.75, 0.875, 0.9375, 0.875]","[1.0, 0.625, 1.0, 1.0, 0.75]","[1.0, 0.8333333333333334, 0.8, 0.875, 1.0]","[1.0, 0.7142857142857143, 0.8888888888888888, 0.9333333333333333, 0.8571428571428571]","[1.0, 0.5163977794943222, 0.7745966692414834, 0.875, 0.7637626158259733]"
28,"[0.8819171036881969, 0.8819171036881969, 1.0, 0.49099025303098287, 1.0]",0.8509648920814753,0.18757438329942575,0.08388581437902344,"{'penalty': 'l1', 'C': 0.7069055558343114, 'solver': 'saga', 'max_iter': 1283, 'n_jobs': None}",round_cv,gso_1,LogisticRegression,"[0.9375, 0.9375, 1.0, 0.7410714285714286, 1.0]","[0.9375, 0.9375, 1.0, 0.7333333333333333, 1.0]","[0.9375, 0.9375, 1.0, 0.7410714285714286, 1.0]","[1.0, 1.0, 1.0, 0.8571428571428571, 1.0]","[0.8888888888888888, 0.8888888888888888, 1.0, 0.6666666666666666, 1.0]","[0.9411764705882353, 0.9411764705882353, 1.0, 0.75, 1.0]","[0.8819171036881969, 0.8819171036881969, 1.0, 0.49099025303098287, 1.0]"
29,"[0.8819171036881969, 0.8819171036881969, 1.0, 0.875, 1.0]",0.9277668414752787,0.05903218588275475,0.02639999609884861,"{'penalty': 'l1', 'C': 0.7069055558343114, 'solver': 'saga', 'max_iter': 1283, 'n_jobs': None}",round_cv,gso_1,LogisticRegression,"[0.9375, 0.9375, 1.0, 0.9375, 1.0]","[0.9375, 0.9375, 1.0, 0.9333333333333333, 1.0]","[0.9375, 0.9375, 1.0, 0.9375, 1.0]","[1.0, 0.875, 1.0, 1.0, 1.0]","[0.8888888888888888, 1.0, 1.0, 0.875, 1.0]","[0.9411764705882353, 0.9333333333333333, 1.0, 0.9333333333333333, 1.0]","[0.8819171036881969, 0.8819171036881969, 1.0, 0.875, 1.0]"
30,"[0.8819171036881969, 0.629940788348712, 0.8819171036881969, 0.8728715609439694, 1.0]",0.853329311333815,0.1211867537138436,0.054196363855335876,"{'penalty': 'l1', 'C': 0.41546531117230506, 'solver': 'liblinear', 'max_iter': 117, 'n_jobs': None}",round_cv,gso_2,LogisticRegression,"[0.9375, 0.8125, 0.9375, 0.9285714285714286, 1.0]","[0.9375, 0.8125, 0.9375, 0.9333333333333333, 1.0]","[0.9375, 0.8125, 0.9375, 0.9285714285714286, 1.0]","[0.875, 0.75, 1.0, 0.8571428571428571, 1.0]","[1.0, 0.8571428571428571, 0.8888888888888888, 1.0, 1.0]","[0.9333333333333333, 0.8, 0.9411764705882353, 0.9230769230769231, 1.0]","[0.8819171036881969, 0.629940788348712, 0.8819171036881969, 0.8728715609439694, 1.0]"
31,"[0.75, 0.5, 0.75, 0.8728715609439694, 1.0]",0.7745743121887939,0.16557652997393446,0.07404807530004978,"{'penalty': 'l1', 'C': 0.41546531117230506, 'solver': 'liblinear', 'max_iter': 117, 'n_jobs': None}",round_cv,gso_2,LogisticRegression,"[0.875, 0.75, 0.875, 0.9285714285714286, 1.0]","[0.875, 0.75, 0.875, 0.9333333333333333, 1.0]","[0.875, 0.75, 0.875, 0.9285714285714286, 1.0]","[0.875, 0.75, 0.875, 0.8571428571428571, 1.0]","[0.875, 0.75, 0.875, 1.0, 1.0]","[0.875, 0.75, 0.875, 0.9230769230769231, 1.0]","[0.75, 0.5, 0.75, 0.8728715609439694, 1.0]"
32,"[0.75, 0.629940788348712, 0.5773502691896258, 1.0, 0.7321428571428571]",0.737886782936239,0.1458131484222701,0.06520962237709244,"{'penalty': 'l1', 'C': 0.41546531117230506, 'solver': 'liblinear', 'max_iter': 117, 'n_jobs': None}",round_cv,gso_2,LogisticRegression,"[0.875, 0.8125, 0.75, 1.0, 0.8660714285714286]","[0.875, 0.8125, 0.75, 1.0, 0.8666666666666667]","[0.875, 0.8125, 0.75, 1.0, 0.8660714285714286]","[0.875, 0.75, 1.0, 1.0, 0.875]","[0.875, 0.8571428571428571, 0.6666666666666666, 1.0, 0.875]","[0.875, 0.8, 0.8, 1.0, 0.875]","[0.75, 0.629940788348712, 0.5773502691896258, 1.0, 0.7321428571428571]"
33,"[0.629940788348712, 1.0, 0.8819171036881969, 0.875, 0.875]",0.8523715784073819,0.12096829024146591,0.05409866402036844,"{'penalty': 'l1', 'C': 0.41546531117230506, 'solver': 'liblinear', 'max_iter': 117, 'n_jobs': None}",round_cv,gso_2,LogisticRegression,"[0.8125, 1.0, 0.9375, 0.9375, 0.9375]","[0.8125, 1.0, 0.9375, 0.9333333333333333, 0.9333333333333333]","[0.8125, 1.0, 0.9375, 0.9375, 0.9375]","[0.875, 1.0, 1.0, 1.0, 0.875]","[0.7777777777777778, 1.0, 0.8888888888888888, 0.875, 1.0]","[0.8235294117647058, 1.0, 0.9411764705882353, 0.9333333333333333, 0.9333333333333333]","[0.629940788348712, 1.0, 0.8819171036881969, 0.875, 0.875]"
34,"[1.0, 0.5163977794943222, 0.8819171036881969, 0.600099198148979, 1.0]",0.7996828162662997,0.20351926636340376,0.09101658286389144,"{'penalty': 'l1', 'C': 0.41546531117230506, 'solver': 'liblinear', 'max_iter': 117, 'n_jobs': None}",round_cv,gso_2,LogisticRegression,"[1.0, 0.75, 0.9375, 0.7946428571428571, 1.0]","[1.0, 0.75, 0.9375, 0.8, 1.0]","[1.0, 0.75, 0.9375, 0.7946428571428572, 1.0]","[1.0, 0.875, 0.875, 0.7142857142857143, 1.0]","[1.0, 0.7, 1.0, 0.8333333333333334, 1.0]","[1.0, 0.7777777777777778, 0.9333333333333333, 0.7692307692307693, 1.0]","[1.0, 0.5163977794943222, 0.8819171036881969, 0.600099198148979, 1.0]"
35,"[0.75, 0.7745966692414834, 0.75, 1.0, 0.6071428571428571]",0.7763479052768681,0.12652438408519287,0.056583424725156754,"{'penalty': 'l1', 'C': 0.41546531117230506, 'solver': 'liblinear', 'max_iter': 117, 'n_jobs': None}",round_cv,gso_2,LogisticRegression,"[0.875, 0.875, 0.875, 1.0, 0.8035714285714286]","[0.875, 0.875, 0.875, 1.0, 0.8]","[0.875, 0.875, 0.875, 1.0, 0.8035714285714286]","[0.875, 1.0, 0.875, 1.0, 0.75]","[0.875, 0.8, 0.875, 1.0, 0.8571428571428571]","[0.875, 0.8888888888888888, 0.875, 1.0, 0.8]","[0.75, 0.7745966692414834, 0.75, 1.0, 0.6071428571428571]"
