,Scores,mean_test_score,std_test_score,sem_test_score,params,round,train_mthd,estimator,roc_auc,accuracy,balanced_accuracy,recall,precision,f1,matthews_corrcoef
20,"[1.0, 0.7035264706814485, 0.9045340337332909, 0.7035264706814485, 0.502518907629606]",0.7628211765451588,0.1738535726853833,0.07774968133114353,"{'penalty': None, 'C': 0.021675909154007335, 'solver': 'sag', 'max_iter': 271, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[1.0, 0.85, 0.95, 0.8500000000000001, 0.75]","[1.0, 0.85, 0.95, 0.85, 0.75]","[1.0, 0.8500000000000001, 0.95, 0.8500000000000001, 0.75]","[1.0, 0.9, 0.9, 0.8, 0.8]","[1.0, 0.8181818181818182, 1.0, 0.8888888888888888, 0.7272727272727273]","[1.0, 0.8571428571428571, 0.9473684210526315, 0.8421052631578947, 0.7619047619047619]","[1.0, 0.7035264706814485, 0.9045340337332909, 0.7035264706814485, 0.502518907629606]"
21,"[0.9045340337332909, 0.7035264706814485, 0.816496580927726, 0.7035264706814485, 0.6123724356957946]",0.7480911983439418,0.10153351126510043,0.04540716663660105,"{'penalty': None, 'C': 0.021675909154007335, 'solver': 'sag', 'max_iter': 271, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.95, 0.8500000000000001, 0.9, 0.85, 0.7999999999999999]","[0.95, 0.85, 0.9, 0.85, 0.8]","[0.95, 0.8500000000000001, 0.9, 0.8500000000000001, 0.8]","[0.9, 0.8, 1.0, 0.9, 0.9]","[1.0, 0.8888888888888888, 0.8333333333333334, 0.8181818181818182, 0.75]","[0.9473684210526315, 0.8421052631578947, 0.9090909090909091, 0.8571428571428571, 0.8181818181818182]","[0.9045340337332909, 0.7035264706814485, 0.816496580927726, 0.7035264706814485, 0.6123724356957946]"
22,"[0.816496580927726, 0.816496580927726, 0.9045340337332909, 0.8, 0.816496580927726]",0.8308047553032939,0.037414197863882635,0.016732137949453798,"{'penalty': None, 'C': 0.021675909154007335, 'solver': 'sag', 'max_iter': 271, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.9, 0.9, 0.95, 0.9, 0.9]","[0.9, 0.9, 0.95, 0.9, 0.9]","[0.9, 0.9, 0.95, 0.9, 0.9]","[1.0, 1.0, 0.9, 0.9, 0.8]","[0.8333333333333334, 0.8333333333333334, 1.0, 0.9, 1.0]","[0.9090909090909091, 0.9090909090909091, 0.9473684210526315, 0.9, 0.8888888888888888]","[0.816496580927726, 0.816496580927726, 0.9045340337332909, 0.8, 0.816496580927726]"
23,"[0.9045340337332909, 1.0, 0.8, 0.7035264706814485, 0.7035264706814485]",0.8223173950192375,0.11580269195893868,0.05178853823953103,"{'penalty': None, 'C': 0.021675909154007335, 'solver': 'sag', 'max_iter': 271, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.95, 1.0, 0.9, 0.8500000000000001, 0.8500000000000001]","[0.95, 1.0, 0.9, 0.85, 0.85]","[0.95, 1.0, 0.9, 0.8500000000000001, 0.8500000000000001]","[0.9, 1.0, 0.9, 0.8, 0.8]","[1.0, 1.0, 0.9, 0.8888888888888888, 0.8888888888888888]","[0.9473684210526315, 1.0, 0.9, 0.8421052631578947, 0.8421052631578947]","[0.9045340337332909, 1.0, 0.8, 0.7035264706814485, 0.7035264706814485]"
24,"[0.816496580927726, 0.6, 0.816496580927726, 0.7035264706814485, 0.9045340337332909]",0.7682107332540383,0.10557082270316047,0.04721270720096898,"{'penalty': None, 'C': 0.021675909154007335, 'solver': 'sag', 'max_iter': 271, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.9, 0.8, 0.9, 0.8500000000000001, 0.9500000000000001]","[0.9, 0.8, 0.9, 0.85, 0.95]","[0.9, 0.8, 0.9, 0.8500000000000001, 0.95]","[0.8, 0.8, 1.0, 0.8, 1.0]","[1.0, 0.8, 0.8333333333333334, 0.8888888888888888, 0.9090909090909091]","[0.8888888888888888, 0.8, 0.9090909090909091, 0.8421052631578947, 0.9523809523809523]","[0.816496580927726, 0.6, 0.816496580927726, 0.7035264706814485, 0.9045340337332909]"
25,"[0.816496580927726, 0.6123724356957946, 0.8, 0.7035264706814485, 0.816496580927726]",0.7497784136465391,0.0805536844982593,0.036024702875235765,"{'penalty': None, 'C': 0.021675909154007335, 'solver': 'sag', 'max_iter': 271, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.9, 0.7999999999999999, 0.9, 0.8500000000000001, 0.9]","[0.9, 0.8, 0.9, 0.85, 0.9]","[0.9, 0.8, 0.9, 0.8500000000000001, 0.9]","[1.0, 0.9, 0.9, 0.8, 0.8]","[0.8333333333333334, 0.75, 0.9, 0.8888888888888888, 1.0]","[0.9090909090909091, 0.8181818181818182, 0.9, 0.8421052631578947, 0.8888888888888888]","[0.816496580927726, 0.6123724356957946, 0.8, 0.7035264706814485, 0.816496580927726]"
26,"[0.6123724356957946, 0.408248290463863, 0.9045340337332909, 0.6123724356957946, 0.9045340337332909]",0.6884122458644069,0.19155845152324702,0.0856675438541157,"{'penalty': None, 'C': 0.021675909154007335, 'solver': 'sag', 'max_iter': 271, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.7999999999999999, 0.7000000000000001, 0.9500000000000001, 0.8, 0.9500000000000001]","[0.8, 0.7, 0.95, 0.8, 0.95]","[0.8, 0.7, 0.95, 0.8, 0.95]","[0.9, 0.8, 1.0, 0.7, 1.0]","[0.75, 0.6666666666666666, 0.9090909090909091, 0.875, 0.9090909090909091]","[0.8181818181818182, 0.7272727272727273, 0.9523809523809523, 0.7777777777777778, 0.9523809523809523]","[0.6123724356957946, 0.408248290463863, 0.9045340337332909, 0.6123724356957946, 0.9045340337332909]"
27,"[0.9045340337332909, 0.816496580927726, 0.8, 1.0, 0.4364357804719848]",0.7914932790266003,0.19131995275102714,0.08556088396066891,"{'penalty': None, 'C': 0.021675909154007335, 'solver': 'sag', 'max_iter': 271, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.95, 0.9, 0.9, 1.0, 0.7]","[0.95, 0.9, 0.9, 1.0, 0.7]","[0.95, 0.9, 0.9, 1.0, 0.7]","[0.9, 1.0, 0.9, 1.0, 0.9]","[1.0, 0.8333333333333334, 0.9, 1.0, 0.6428571428571429]","[0.9473684210526315, 0.9090909090909091, 0.9, 1.0, 0.75]","[0.9045340337332909, 0.816496580927726, 0.8, 1.0, 0.4364357804719848]"
28,"[0.6, 1.0, 0.8, 0.9045340337332909, 0.8]",0.8209068067466582,0.1332230395741234,0.05957915453137691,"{'penalty': None, 'C': 0.021675909154007335, 'solver': 'sag', 'max_iter': 271, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.8, 1.0, 0.9, 0.95, 0.9]","[0.8, 1.0, 0.9, 0.95, 0.9]","[0.8, 1.0, 0.9, 0.95, 0.9]","[0.8, 1.0, 0.9, 0.9, 0.9]","[0.8, 1.0, 0.9, 1.0, 0.9]","[0.8, 1.0, 0.9, 0.9473684210526315, 0.9]","[0.6, 1.0, 0.8, 0.9045340337332909, 0.8]"
29,"[0.8, 0.8, 0.6123724356957946, 0.816496580927726, 0.6123724356957946]",0.7282482904638631,0.09480380145223256,0.04239754891451706,"{'penalty': None, 'C': 0.021675909154007335, 'solver': 'sag', 'max_iter': 271, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.9, 0.9, 0.7999999999999999, 0.9, 0.7999999999999999]","[0.9, 0.9, 0.8, 0.9, 0.8]","[0.9, 0.9, 0.8, 0.9, 0.8]","[0.9, 0.9, 0.9, 0.8, 0.9]","[0.9, 0.9, 0.75, 1.0, 0.75]","[0.9, 0.9, 0.8181818181818182, 0.8888888888888888, 0.8181818181818182]","[0.8, 0.8, 0.6123724356957946, 0.816496580927726, 0.6123724356957946]"
