,Scores,mean_test_score,std_test_score,sem_test_score,params,round,train_mthd,estimator,roc_auc,accuracy,balanced_accuracy,recall,precision,f1,matthews_corrcoef
10,"[0.8819171036881969, 0.629940788348712, 0.7745966692414834, 0.875, 0.8728715609439694]",0.8068652244444724,0.09692830795881326,0.04334765710798806,"{'penalty': 'l1', 'C': 0.5913941689624184, 'solver': 'liblinear', 'max_iter': 619, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.9375, 0.8125, 0.875, 0.9375, 0.9285714285714286]","[0.9375, 0.8125, 0.875, 0.9333333333333333, 0.9333333333333333]","[0.9375, 0.8125, 0.875, 0.9375, 0.9285714285714286]","[1.0, 0.75, 1.0, 1.0, 1.0]","[0.8888888888888888, 0.8571428571428571, 0.8, 0.875, 0.8888888888888888]","[0.9411764705882353, 0.8, 0.8888888888888888, 0.9333333333333333, 0.9411764705882353]","[0.8819171036881969, 0.629940788348712, 0.7745966692414834, 0.875, 0.8728715609439694]"
11,"[0.8819171036881969, 0.3779644730092272, 0.75, 0.875, 0.8728715609439694]",0.7515506275282787,0.19314396384507326,0.08637660652026909,"{'penalty': 'l1', 'C': 0.5913941689624184, 'solver': 'liblinear', 'max_iter': 619, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.9375, 0.6875, 0.875, 0.9375, 0.9285714285714286]","[0.9375, 0.6875, 0.875, 0.9333333333333333, 0.9333333333333333]","[0.9375, 0.6875, 0.875, 0.9375, 0.9285714285714286]","[1.0, 0.625, 0.875, 1.0, 1.0]","[0.8888888888888888, 0.7142857142857143, 0.875, 0.875, 0.8888888888888888]","[0.9411764705882353, 0.6666666666666666, 0.875, 0.9333333333333333, 0.9411764705882353]","[0.8819171036881969, 0.3779644730092272, 0.75, 0.875, 0.8728715609439694]"
12,"[0.75, 0.75, 0.674199862463242, 0.875, 1.0]",0.8098399724926484,0.1148621341530679,0.05136790800139201,"{'penalty': 'l1', 'C': 0.5913941689624184, 'solver': 'liblinear', 'max_iter': 619, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.875, 0.875, 0.8125, 0.9375, 1.0]","[0.875, 0.875, 0.8125, 0.9333333333333333, 1.0]","[0.875, 0.875, 0.8125, 0.9375, 1.0]","[0.875, 0.875, 1.0, 1.0, 1.0]","[0.875, 0.875, 0.7272727272727273, 0.875, 1.0]","[0.875, 0.875, 0.8421052631578947, 0.9333333333333333, 1.0]","[0.75, 0.75, 0.674199862463242, 0.875, 1.0]"
13,"[0.629940788348712, 1.0, 0.8819171036881969, 0.7637626158259733, 0.875]",0.8301241015725764,0.12492508785517971,0.05586819770786304,"{'penalty': 'l1', 'C': 0.5913941689624184, 'solver': 'liblinear', 'max_iter': 619, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.8125, 1.0, 0.9375, 0.875, 0.9375]","[0.8125, 1.0, 0.9375, 0.8666666666666667, 0.9333333333333333]","[0.8125, 1.0, 0.9375, 0.875, 0.9375]","[0.875, 1.0, 1.0, 1.0, 0.875]","[0.7777777777777778, 1.0, 0.8888888888888888, 0.7777777777777778, 1.0]","[0.8235294117647058, 1.0, 0.9411764705882353, 0.875, 0.9333333333333333]","[0.629940788348712, 1.0, 0.8819171036881969, 0.7637626158259733, 0.875]"
14,"[0.8819171036881969, 0.5163977794943222, 0.8819171036881969, 1.0, 0.8728715609439694]",0.8306207095629372,0.16399583430855713,0.0733411667081452,"{'penalty': 'l1', 'C': 0.5913941689624184, 'solver': 'liblinear', 'max_iter': 619, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.9375, 0.75, 0.9375, 1.0, 0.9285714285714286]","[0.9375, 0.75, 0.9375, 1.0, 0.9333333333333333]","[0.9375, 0.75, 0.9375, 1.0, 0.9285714285714286]","[1.0, 0.875, 0.875, 1.0, 1.0]","[0.8888888888888888, 0.7, 1.0, 1.0, 0.8888888888888888]","[0.9411764705882353, 0.7777777777777778, 0.9333333333333333, 1.0, 0.9411764705882353]","[0.8819171036881969, 0.5163977794943222, 0.8819171036881969, 1.0, 0.8728715609439694]"
15,"[0.8819171036881969, 0.629940788348712, 0.75, 1.0, 0.8728715609439694]",0.8269458905961755,0.12634113078362538,0.056501471357275526,"{'penalty': 'l1', 'C': 0.5913941689624184, 'solver': 'liblinear', 'max_iter': 619, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.9375, 0.8125, 0.875, 1.0, 0.9285714285714286]","[0.9375, 0.8125, 0.875, 1.0, 0.9333333333333333]","[0.9375, 0.8125, 0.875, 1.0, 0.9285714285714286]","[1.0, 0.875, 0.875, 1.0, 1.0]","[0.8888888888888888, 0.7777777777777778, 0.875, 1.0, 0.8888888888888888]","[0.9411764705882353, 0.8235294117647058, 0.875, 1.0, 0.9411764705882353]","[0.8819171036881969, 0.629940788348712, 0.75, 1.0, 0.8728715609439694]"
16,"[0.629940788348712, 0.8819171036881969, 0.8819171036881969, 1.0, 0.8728715609439694]",0.853329311333815,0.1211867537138436,0.054196363855335876,"{'penalty': 'l1', 'C': 0.5913941689624184, 'solver': 'liblinear', 'max_iter': 619, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.8125, 0.9375, 0.9375, 1.0, 0.9285714285714286]","[0.8125, 0.9375, 0.9375, 1.0, 0.9333333333333333]","[0.8125, 0.9375, 0.9375, 1.0, 0.9285714285714286]","[0.875, 1.0, 0.875, 1.0, 1.0]","[0.7777777777777778, 0.8888888888888888, 1.0, 1.0, 0.8888888888888888]","[0.8235294117647058, 0.9411764705882353, 0.9333333333333333, 1.0, 0.9411764705882353]","[0.629940788348712, 0.8819171036881969, 0.8819171036881969, 1.0, 0.8728715609439694]"
17,"[0.8819171036881969, 0.674199862463242, 0.7745966692414834, 0.875, 0.7321428571428571]",0.7875712985071559,0.08079436171825381,0.03613233700014445,"{'penalty': 'l1', 'C': 0.5913941689624184, 'solver': 'liblinear', 'max_iter': 619, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.9375, 0.8125, 0.875, 0.9375, 0.8660714285714286]","[0.9375, 0.8125, 0.875, 0.9333333333333333, 0.8666666666666667]","[0.9375, 0.8125, 0.875, 0.9375, 0.8660714285714286]","[1.0, 0.625, 1.0, 1.0, 0.875]","[0.8888888888888888, 1.0, 0.8, 0.875, 0.875]","[0.9411764705882353, 0.7692307692307693, 0.8888888888888888, 0.9333333333333333, 0.875]","[0.8819171036881969, 0.674199862463242, 0.7745966692414834, 0.875, 0.7321428571428571]"
18,"[0.8819171036881969, 0.8819171036881969, 0.8819171036881969, 0.49099025303098287, 1.0]",0.8273483128191147,0.1742863209099232,0.07794321222058624,"{'penalty': 'l1', 'C': 0.5913941689624184, 'solver': 'liblinear', 'max_iter': 619, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.9375, 0.9375, 0.9375, 0.7410714285714286, 1.0]","[0.9375, 0.9375, 0.9375, 0.7333333333333333, 1.0]","[0.9375, 0.9375, 0.9375, 0.7410714285714286, 1.0]","[1.0, 1.0, 1.0, 0.8571428571428571, 1.0]","[0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.6666666666666666, 1.0]","[0.9411764705882353, 0.9411764705882353, 0.9411764705882353, 0.75, 1.0]","[0.8819171036881969, 0.8819171036881969, 0.8819171036881969, 0.49099025303098287, 1.0]"
19,"[0.7745966692414834, 0.75, 0.8819171036881969, 0.875, 1.0]",0.856302754585936,0.08902891689835238,0.03981494202957913,"{'penalty': 'l1', 'C': 0.5913941689624184, 'solver': 'liblinear', 'max_iter': 619, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.875, 0.875, 0.9375, 0.9375, 1.0]","[0.875, 0.875, 0.9375, 0.9333333333333333, 1.0]","[0.875, 0.875, 0.9375, 0.9375, 1.0]","[1.0, 0.875, 1.0, 1.0, 1.0]","[0.8, 0.875, 0.8888888888888888, 0.875, 1.0]","[0.8888888888888888, 0.875, 0.9411764705882353, 0.9333333333333333, 1.0]","[0.7745966692414834, 0.75, 0.8819171036881969, 0.875, 1.0]"
